UNITED STATES-Total,202609,129549,110826
Male,97087,60356,51542
Female,105523,69193,59284
N-H White,148035,103588,89469
N-H Black,23587,15156,12749
API,8041,2470,2045
Hispanic,21598,7546,5934
White,168733,110773,95098
Black,24132,15348,12917
ALABAMA-Total,3278,2411,1953
Male,1507,1084,886
Female,1771,1326,1067
N-H White,2370,1776,1448
N-H Black,853,613,485
API,15,2,2
Hispanic,27,12,10
White,2391,1783,1453
Black,859,619,491
ALASKA-Total,412,299,270
Male,202,148,133
Female,210,150,137
N-H White,316,240,222
N-H Black,13,7,7
API,15,7,5
Hispanic,12,6,5
White,327,245,227
Black,13,7,7
ARIZONA-Total,3524,1879,1644
Male,1734,885,773
Female,1789,994,871
N-H White,2315,1477,1319
N-H Black,106,51,35
API,132,21,17
Hispanic,910,304,247
White,3205,1773,1560
Black,114,53,36
ARKANSAS-Total,1893,1125,936
Male,897,513,423
Female,996,612,512
N-H White,1489,911,752
N-H Black,331,199,173
API,13,8,6
Hispanic,51,5,3
White,1540,916,755
Black,331,199,173
CALIFORNIA-Total,24749,13061,11489
Male,11932,6170,5463
Female,12817,6891,6027
N-H White,13362,8979,8071
N-H Black,1651,1032,867
API,3027,1007,848
Hispanic,6514,1919,1597
White,19770,10839,9618
Black,1678,1039,873
COLORADO-Total,3049,1954,1633
Male,1514,959,805
Female,1535,995,829
N-H White,2377,1666,1412
N-H Black,115,74,54
API,53,6,2
Hispanic,478,199,158
White,2838,1853,1559
Black,116,74,54
CONNECTICUT-Total,2415,1510,1332
Male,1146,682,605
Female,1268,828,727
N-H White,1894,1274,1124
N-H Black,308,158,133
API,63,9,9
Hispanic,139,64,61
White,2020,1331,1178
Black,317,161,135
DELAWARE-Total,567,385,352
Male,267,173,155
Female,299,211,197
N-H White,424,305,277
N-H Black,110,67,64
API,9,3,3
Hispanic,20,8,8
White,443,313,284
Black,111,68,64
DISTRICT OF COLUMBIA-Total,407,295,267
Male,191,130,114
Female,216,165,153
N-H White,120,97,88
N-H Black,254,188,170
API,8,3,3
Hispanic,26,7,6
White,140,102,92
Black,258,190,172
FLORIDA-Total,11633,7043,6006
Male,5533,3228,2740
Female,6100,3816,3266
N-H White,7789,5391,4658
N-H Black,1406,761,607
API,223,71,50
Hispanic,2162,802,678
White,9886,6176,5320
Black,1467,773,620
GEORGIA-Total,5775,3528,2827
Male,2697,1609,1270
Female,3078,1919,1557
N-H White,3601,2198,1787
N-H Black,1929,1293,1007
API,72,7,4
Hispanic,169,26,26
White,3743,2221,1810
Black,1956,1296,1010
HAWAII-Total,855,402,340
Male,413,183,154
Female,442,219,186
N-H White,193,110,99
N-H Black,16,7,2
API,618,273,230
Hispanic,29,13,10
White,216,121,106
Black,16,7,2
IDAHO-Total,927,569,500
Male,447,265,232
Female,480,304,268
N-H White,839,551,489
N-H Black,4,,
API,14,3,2
Hispanic,58,10,7
White,896,561,496
Black,4,,
