UNITED_STATES-Total,220603,135847,96119
Male,106531,63425,45118
Female,114073,72422,51001
White alone,179873,115135,82387
White non-Hispanic alone,152998,106620,77280
Black alone,25722,14765,9937
Asian alone,9855,3245,2145
Hispanic (of any race),28945,9304,5595
White alone or in combination,182564,116702,83368
Black alone or in combination,26375,15142,10169
Asian alone or in combination,10474,3544,2350
ALABAMA-Total,3447,2480,1667
Male,1638,1187,792
Female,1809,1293,875
White alone,2500,1824,1241
White non-Hispanic alone,2431,1811,1228
Black alone,839,602,401
Asian alone,29,3,
Hispanic (of any race),69,13,13
White alone or in combination,2561,1861,1255
Black alone or in combination,854,609,405
Asian alone or in combination,36,7,
ALASKA-Total,469,333,248
Male,237,162,119
Female,232,170,129
White alone,356,264,202
White non-Hispanic alone,346,260,199
Black alone,14,7,6
Asian alone,24,7,4
Hispanic (of any race),14,7,5
White alone or in combination,384,283,215
Black alone or in combination,15,8,6
Asian alone or in combination,29,11,6
ARIZONA-Total,4418,2378,1777
Male,2161,1101,797
Female,2257,1277,980
White alone,3987,2158,1670
White non-Hispanic alone,2797,1789,1404
Black alone,155,75,35
Asian alone,86,28,12
Hispanic (of any race),1243,400,272
White alone or in combination,4037,2184,1685
Black alone or in combination,162,78,38
Asian alone or in combination,89,31,15
ARKANSAS-Total,2076,1316,911
Male,997,624,431
Female,1079,692,480
White alone,1714,1115,792
White non-Hispanic alone,1608,1100,782
Black alone,297,171,101
Asian alone,26,3,
Hispanic (of any race),106,15,10
White alone or in combination,1733,1129,797
Black alone or in combination,302,174,105
Asian alone or in combination,26,3,
CALIFORNIA-Total,26318,13239,10104
Male,12925,6301,4806
Female,13393,6938,5298
White alone,20284,10756,8336
White non-Hispanic alone,12540,8461,6739
Black alone,1665,847,608
Asian alone,3470,1242,882
Hispanic (of any race),8180,2481,1717
White alone or in combination,20706,10982,8496
Black alone or in combination,1734,897,641
Asian alone or in combination,3656,1336,948
COLORADO-Total,3464,2275,1730
Male,1712,1096,805
Female,1752,1179,925
White alone,3160,2150,1660
White non-Hispanic alone,2657,1956,1522
Black alone,128,49,25
Asian alone,92,26,20
Hispanic (of any race),563,228,158
White alone or in combination,3191,2171,1672
Black alone or in combination,133,52,26
Asian alone or in combination,100,33,22
CONNECTICUT-Total,2640,1650,1220
Male,1257,759,572
Female,1383,891,648
White alone,2297,1484,1117
White non-Hispanic alone,2084,1408,1073
Black alone,243,128,81
Asian alone,67,25,15
Hispanic (of any race),258,90,49
White alone or in combination,2312,1488,1120
Black alone or in combination,250,131,83
Asian alone or in combination,69,26,15
DELAWARE-Total,647,408,275
Male,308,190,124
Female,339,218,152
White alone,496,322,220
White non-Hispanic alone,460,316,217
Black alone,125,74,47
Asian alone,22,8,5
Hispanic (of any race),43,8,4
White alone or in combination,498,324,221
Black alone or in combination,127,76,49
Asian alone or in combination,23,9,6
DISTRICT_OF_COLUMBIA-Total,419,275,187
Male,193,118,79
Female,226,157,108
White alone,175,116,81
White non-Hispanic alone,149,110,77
Black alone,217,148,98
Asian alone,15,7,5
Hispanic (of any race),36,7,4
White alone or in combination,179,117,82
Black alone or in combination,223,151,100
Asian alone or in combination,15,7,5
FLORIDA-Total,13929,7855,5343
Male,6717,3621,2538
Female,7212,4235,2805
White alone,11556,6709,4592
White non-Hispanic alone,8783,5822,4101
Black alone,1915,963,642
Asian alone,293,80,44
Hispanic (of any race),2862,921,514
White alone or in combination,11664,6780,4633
Black alone or in combination,1950,985,657
Asian alone or in combination,312,87,44
GEORGIA-Total,6630,3950,2672
Male,3188,1795,1197
Female,3442,2154,1474
White alone,4512,2801,1905
White non-Hispanic alone,4048,2747,1871
Black alone,1868,1081,722
Asian alone,173,31,26
Hispanic (of any race),528,57,37
White alone or in combination,4560,2826,1917
Black alone or in combination,1886,1093,728
Asian alone or in combination,185,34,29
HAWAII-Total,967,492,388
Male,460,231,178
Female,507,261,209
White alone,232,134,97
White non-Hispanic alone,206,122,88
Black alone,15,7,3
Asian alone,468,236,202
Hispanic (of any race),52,25,22
White alone or in combination,350,194,143
Black alone or in combination,21,10,6
Asian alone or in combination,588,297,247
IDAHO-Total,1064,660,523
Male,523,318,249
Female,541,342,274
White alone,1013,643,515
White non-Hispanic alone,928,630,507
Black alone,7,,
Asian alone,17,5,3
Hispanic (of any race),91,16,9
White alone or in combination,1029,652,519
Black alone or in combination,10,,
Asian alone or in combination,20,6,3
ILLINOIS-Total,9392,5779,3968
Male,4570,2635,1805
Female,4822,3144,2162
White alone,7585,4800,3262
White non-Hispanic alone,6567,4508,3093
Black alone,1274,822,602
Asian alone,458,121,79
Hispanic (of any race),1086,316,185
