UNITED_STATES-Total,225499,146311,131144
Male,108974,68242,60729
Female,116525,78069,70415
White alone,183169,122020,109100
White non-Hispanic alone,154472,111215,100042
Black alone,26528,17375,16133
Asian alone,10455,3901,3357
Hispanic (of any race),30852,11608,9745
White alone or in combination,185773,123628,110500
Black alone or in combination,27483,17960,16674
Asian alone or in combination,11009,4225,3627
ALABAMA-Total,3497,2438,2126
Male,1654,1092,927
Female,1843,1346,1199
White alone,2541,1791,1543
White non-Hispanic alone,2474,1791,1543
Black alone,875,611,547
Asian alone,32,,
Hispanic (of any race),71,4,4
White alone or in combination,2579,1824,1576
Black alone or in combination,892,626,561
Asian alone or in combination,32,,
ALASKA-Total,488,345,304
Male,246,171,152
Female,242,174,152
White alone,364,278,251
White non-Hispanic alone,351,271,245
Black alone,17,10,7
Asian alone,23,9,7
Hispanic (of any race),15,9,8
White alone or in combination,390,294,266
Black alone or in combination,20,10,8
Asian alone or in combination,25,11,9
ARIZONA-Total,4688,2874,2497
Male,2326,1382,1191
Female,2362,1492,1306
White alone,4163,2539,2226
White non-Hispanic alone,2970,2150,1952
Black alone,185,121,95
Asian alone,105,52,48
Hispanic (of any race),1227,410,291
White alone or in combination,4225,2580,2264
Black alone or in combination,206,131,106
Asian alone or in combination,113,57,52
ARKANSAS-Total,2108,1317,1092
Male,1002,584,477
Female,1106,734,615
White alone,1733,1125,931
White non-Hispanic alone,1658,1117,928
Black alone,308,160,133
Asian alone,23,,
Hispanic (of any race),74,8,3
White alone or in combination,1768,1152,954
Black alone or in combination,313,164,136
Asian alone or in combination,23,,
CALIFORNIA-Total,26993,14885,13828
Male,13259,6948,6429
Female,13734,7937,7398
White alone,20823,11775,10982
White non-Hispanic alone,12581,8783,8255
Black alone,1682,1105,1073
Asian alone,3473,1522,1343
Hispanic (of any race),8859,3263,2961
White alone or in combination,21259,12004,11197
Black alone or in combination,1860,1187,1151
Asian alone or in combination,3626,1599,1410
COLORADO-Total,3694,2437,2308
Male,1840,1190,1123
Female,1854,1247,1185
White alone,3344,2262,2137
White non-Hispanic alone,2771,2049,1954
Black alone,150,85,81
Asian alone,131,48,48
Hispanic (of any race),590,225,195
White alone or in combination,3378,2284,2160
Black alone or in combination,160,89,86
Asian alone or in combination,143,55,55
CONNECTICUT-Total,2651,1761,1610
Male,1270,830,760
Female,1381,931,851
White alone,2233,1583,1455
White non-Hispanic alone,2013,1492,1379
Black alone,251,133,121
Asian alone,136,31,21
Hispanic (of any race),253,104,89
White alone or in combination,2247,1592,1464
Black alone or in combination,257,137,125
Asian alone or in combination,144,35,24
DELAWARE-Total,648,447,408
Male,308,204,184
Female,339,243,224
White alone,493,355,324
White non-Hispanic alone,460,348,318
Black alone,125,83,78
Asian alone,22,4,3
Hispanic (of any race),38,9,7
White alone or in combination,496,357,325
Black alone or in combination,127,84,79
Asian alone or in combination,22,4,3
DISTRICT_OF_COLUMBIA-Total,469,324,306
Male,216,140,132
Female,254,183,174
White alone,203,139,130
White non-Hispanic alone,161,130,121
Black alone,242,173,165
Asian alone,15,6,5
Hispanic (of any race),50,11,11
White alone or in combination,208,142,134
Black alone or in combination,246,176,168
Asian alone or in combination,17,7,7
FLORIDA-Total,14069,8774,7951
Male,6774,4049,3677
Female,7294,4725,4274
White alone,11674,7533,6806
White non-Hispanic alone,8980,6213,5635
Black alone,1968,1069,985
Asian alone,267,96,84
Hispanic (of any race),2909,1380,1227
White alone or in combination,11776,7576,6849
Black alone or in combination,2073,1110,1026
Asian alone or in combination,283,100,88
GEORGIA-Total,7018,4624,4183
Male,3323,2105,1883
Female,3695,2519,2300
White alone,4729,3111,2789
White non-Hispanic alone,4235,2983,2683
Black alone,2014,1414,1309
Asian alone,229,60,53
Hispanic (of any race),541,150,128
White alone or in combination,4754,3134,2809
Black alone or in combination,2046,1442,1334
Asian alone or in combination,229,60,53
HAWAII-Total,977,522,457
Male,478,250,223
Female,499,272,235
White alone,239,149,136
White non-Hispanic alone,215,141,130
Black alone,18,2,2
Asian alone,403,220,199
Hispanic (of any race),49,17,15
White alone or in combination,379,222,198
Black alone or in combination,23,5,4
Asian alone or in combination,548,290,252
IDAHO-Total,1095,723,644
Male,538,352,313
Female,556,371,331
White alone,1045,697,621
White non-Hispanic alone,925,662,592
Black alone,11,8,8
Asian alone,17,7,6
Hispanic (of any race),122,37,30
White alone or in combination,1050,700,624
Black alone or in combination,11,8,8
Asian alone or in combination,17,7,6
ILLINOIS-Total,9521,6151,5436
Male,4623,2900,2521
Female,4897,3252,2914
White alone,7750,5160,4520
White non-Hispanic alone,6700,4783,4214
Black alone,1298,826,784
Asian alone,360,109,78
Hispanic (of any race),1081,385,314
White alone or in combination,7805,5190,4547
Black alone or in combination,1318,843,798
Asian alone or in combination,375,115,84
INDIANA-Total,4686,3105,2758
Male,2280,1465,1290
Female,2406,1640,1468
White alone,4264,2851,2516
White non-Hispanic alone,4080,2811,2485
Black alone,370,228,219
Asian alone,19,3,3
Hispanic (of any race),196,45,36
White alone or in combination,4285,2866,2527
Black alone or in combination,381,236,225
Asian alone or in combination,21,5,5
IOWA-Total,2244,1630,1501
Male,1097,765,699
Female,1147,865,801
White alone,2084,1550,1422
White non-Hispanic alone,1986,1532,1405
Black alone,71,42,42
Asian alone,58,11,11
Hispanic (of any race),101,21,20
White alone or in combination,2104,1569,1439
Black alone or in combination,74,45,45
Asian alone or in combination,61,15,15
KANSAS-Total,2037,1343,1219
Male,992,617,552
Female,1045,726,667
White alone,1762,1213,1105
White non-Hispanic alone,1641,1174,1069
Black alone,120,68,62
Asian alone,70,19,19
Hispanic (of any race),136,43,39
White alone or in combination,1811,1241,1126
Black alone or in combination,131,73,66
Asian alone or in combination,76,25,23
KENTUCKY-Total,3179,2259,1952
Male,1525,1044,892
Female,1653,1215,1060
White alone,2886,2074,1794
White non-Hispanic alone,2837,2064,1785
Black alone,211,136,128
Asian alone,33,2,
Hispanic (of any race),52,13,13
White alone or in combination,2917,2102,1818
Black alone or in combination,226,149,138
Asian alone or in combination,37,6,4
LOUISIANA-Total,3161,2393,2149
Male,1478,1101,984
Female,1683,1292,1165
White alone,2119,1647,1490
White non-Hispanic alone,2023,1612,1458
Black alone,943,712,625
Asian alone,67,6,6
Hispanic (of any race),100,39,32
White alone or in combination,2141,1665,1508
Black alone or in combination,966,731,644
Asian alone or in combination,67,6,6
MAINE-Total,1020,801,716
Male,492,380,336
Female,529,421,380
White alone,981,778,698
White non-Hispanic alone,967,770,691
Black alone,10,5,4
Asian alone,4,1,1
Hispanic (of any race),17,9,8
White alone or in combination,1004,794,709
Black alone or in combination,14,8,6
Asian alone or in combination,4,2,1
MARYLAND-Total,4218,2828,2611
Male,1984,1254,1153
Female,2234,1574,1458
White alone,2762,1876,1725
White non-Hispanic alone,2521,1793,1644
Black alone,1177,831,788
Asian alone,220,80,62
Hispanic (of any race),269,93,91
White alone or in combination,2793,1897,1745
Black alone or in combination,1207,855,806
Asian alone or in combination,224,81,63
MASSACHUSETTS-Total,4962,3293,3044
Male,2385,1583,1458
Female,2576,1710,1586
White alone,4280,3026,2787
White non-Hispanic alone,4021,2928,2715
Black alone,310,145,145
Asian alone,324,82,76
Hispanic (of any race),286,103,77
White alone or in combination,4310,3056,2813
Black alone or in combination,324,160,160
Asian alone or in combination,324,82,76
MICHIGAN-Total,7487,5531,4865
Male,3609,2590,2249
Female,3877,2940,2616
White alone,6200,4642,4065
White non-Hispanic alone,6005,4557,3995
Black alone,968,738,679
Asian alone,206,74,53
Hispanic (of any race),198,85,70
White alone or in combination,6258,4680,4099
Black alone or in combination,991,756,694
Asian alone or in combination,217,84,64
MINNESOTA-Total,3898,2931,2759
Male,1927,1394,1295
Female,1972,1537,1464
White alone,3497,2740,2587
White non-Hispanic alone,3387,2707,2558
Black alone,181,87,82
Asian alone,162,62,56
Hispanic (of any race),128,39,35
White alone or in combination,3543,2770,2612
Black alone or in combination,190,91,86
Asian alone or in combination,171,70,62
MISSISSIPPI-Total,2109,1589,1439
Male,1000,741,648
Female,1108,848,790
White alone,1360,982,896
White non-Hispanic alone,1313,980,895
Black alone,718,588,524
Asian alone,3,,
Hispanic (of any race),54,10,10
White alone or in combination,1372,992,907
Black alone or in combination,730,598,534
Asian alone or in combination,3,,
MISSOURI-Total,4430,3224,2846
Male,2120,1510,1318
Female,2309,1714,1528
White alone,3833,2799,2451
White non-Hispanic alone,3745,2779,2432
Black alone,457,352,336
Asian alone,57,16,14
Hispanic (of any race),98,25,20
White alone or in combination,3903,2849,2490
Black alone or in combination,459,354,337
Asian alone or in combination,57,16,14
MONTANA-Total,731,516,473
Male,358,247,227
Female,373,269,246
White alone,683,487,447
White non-Hispanic alone,668,479,440
Black alone,2,2,2
Asian alone,5,4,4
Hispanic (of any race),15,9,8
White alone or in combination,693,495,453
Black alone or in combination,4,4,4
Asian alone or in combination,6,5,5
NEBRASKA-Total,1308,939,844
Male,640,443,391
Female,669,495,453
White alone,1210,890,803
White non-Hispanic alone,1139,864,781
Black alone,42,25,24
Asian alone,25,8,8
Hispanic (of any race),76,28,24
White alone or in combination,1221,898,809
Black alone or in combination,45,26,25
Asian alone or in combination,29,9,9
NEVADA-Total,1946,1147,1027
Male,982,581,519
Female,964,567,509
White alone,1572,942,850
White non-Hispanic alone,1212,830,746
Black alone,148,114,105
Asian alone,156,45,35
Hispanic (of any race),392,131,119
White alone or in combination,1604,958,863
Black alone or in combination,161,120,110
Asian alone or in combination,160,48,35
NEW_HAMPSHIRE-Total,1015,756,708
Male,493,360,337
Female,522,396,371
White alone,974,737,691
White non-Hispanic alone,957,727,683
Black alone,9,4,4
Asian alone,17,5,5
Hispanic (of any race),18,11,8
White alone or in combination,986,744,697
Black alone or in combination,12,5,5
Asian alone or in combination,17,6,5
NEW_JERSEY-Total,6489,4022,3637
Male,3124,1913,1708
Female,3365,2109,1929
White alone,4991,3233,2912
White non-Hispanic alone,4054,2863,2593
Black alone,846,513,475
Asian alone,567,238,215
Hispanic (of any race),1006,388,337
White alone or in combination,5040,3252,2926
Black alone or in combination,862,526,489
Asian alone or in combination,581,246,218
NEW_MEXICO-Total,1473,937,846
Male,720,445,395
