US-Total,229690,137263,95987
Male,111098,64337,45392
Female,118592,72926,50595
White alone,185804,114482,80554
White non-Hispanic alone,155680,104316,74372
Black alone,27396,16101,11149
Asian alone,11049,3765,2354
Hispanic (of any race),32457,10982,6646
White alone or in combination,188616,116115,81614
Black alone or in combination,28414,16684,11498
Asian alone or in combination,11679,4136,2615
ALABAMA-Total,3526,2224,1509
Male,1652,989,664
Female,1873,1235,845
White alone,2611,1612,1097
White non-Hispanic alone,2485,1595,1086
Black alone,868,599,403
Asian alone,31,4,4
Hispanic (of any race),142,34,14
White alone or in combination,2621,1616,1097
Black alone or in combination,868,599,403
Asian alone or in combination,38,4,4
ALASKA-Total,498,317,242
Male,252,161,127
Female,246,156,115
White alone,385,262,209
White non-Hispanic alone,364,253,202
Black alone,24,13,7
Asian alone,19,4,2
Hispanic (of any race),23,10,7
White alone or in combination,408,276,215
Black alone or in combination,29,17,10
Asian alone or in combination,22,6,3
ARIZONA-Total,4831,2934,2170
Male,2391,1419,1075
Female,2439,1516,1095
White alone,4267,2581,1936
White non-Hispanic alone,3019,2050,1565
Black alone,193,122,76
Asian alone,97,62,49
Hispanic (of any race),1389,610,407
White alone or in combination,4369,2652,1966
Black alone or in combination,202,127,76
Asian alone or in combination,103,62,49
ARKANSAS-Total,2140,1256,841
Male,1021,569,382
Female,1120,687,459
White alone,1740,1050,713
White non-Hispanic alone,1659,1038,705
Black alone,310,168,100
Asian alone,48,7,3
Hispanic (of any race),83,14,10
White alone or in combination,1758,1068,727
Black alone or in combination,313,172,102
Asian alone or in combination,51,10,6
CALIFORNIA-Total,27381,13864,10725
Male,13470,6705,5160
Female,13910,7160,5565
White alone,20828,11016,8666
White non-Hispanic alone,12418,8197,6713
Black alone,1728,932,708
Asian alone,3860,1472,1008
Hispanic (of any race),9004,3025,2058
White alone or in combination,21269,11271,8881
Black alone or in combination,1887,1028,779
Asian alone or in combination,4020,1594,1092
COLORADO-Total,3768,2299,1826
Male,1865,1104,871
Female,1903,1196,955
White alone,3423,2142,1714
White non-Hispanic alone,2825,1938,1577
Black alone,148,82,60
Asian alone,112,32,21
Hispanic (of any race),629,214,144
White alone or in combination,3465,2160,1728
Black alone or in combination,155,84,60
Asian alone or in combination,129,40,26
CONNECTICUT-Total,2648,1641,1215
Male,1274,767,577
Female,1374,874,638
White alone,2273,1473,1096
White non-Hispanic alone,2073,1386,1052
Black alone,247,132,93
Asian alone,102,29,22
Hispanic (of any race),243,111,56
White alone or in combination,2290,1476,1096
Black alone or in combination,263,138,97
Asian alone or in combination,104,29,22
DELAWARE-Total,667,418,323
Male,318,190,147
Female,349,228,177
White alone,513,330,252
White non-Hispanic alone,479,324,249
Black alone,134,79,64
Asian alone,11,4,4
Hispanic (of any race),40,9,6
White alone or in combination,517,332,253
Black alone or in combination,139,81,66
Asian alone or in combination,11,4,4
DISTRICT OF COLUMBIA-Total,489,295,200
Male,223,127,84
Female,266,168,116
White alone,220,134,86
White non-Hispanic alone,181,124,80
Black alone,244,146,103
Asian alone,14,9,6
Hispanic (of any race),45,12,8
White alone or in combination,223,137,88
Black alone or in combination,246,147,105
Asian alone or in combination,15,10,7
FLORIDA-Total,14227,7994,5572
Male,6872,3735,2623
Female,7355,4259,2949
White alone,11665,6731,4740
White non-Hispanic alone,8797,5529,3902
Black alone,2046,1073,725
Asian alone,390,128,68
Hispanic (of any race),2962,1239,863
White alone or in combination,11771,6789,4779
Black alone or in combination,2097,1087,735
Asian alone or in combination,416,135,74
GEORGIA-Total,7119,4076,2865
Male,3404,1929,1338
Female,3715,2147,1527
White alone,4734,2717,1881
White non-Hispanic alone,4294,2657,1845
Black alone,2066,1260,929
Asian alone,254,51,23
Hispanic (of any race),519,77,46
White alone or in combination,4776,2748,1905
Black alone or in combination,2100,1284,950
Asian alone or in combination,262,55,23
HAWAII-Total,965,466,385
Male,471,226,182
Female,494,240,203
White alone,191,99,84
White non-Hispanic alone,169,90,76
Black alone,28,10,10
Asian alone,432,223,192
Hispanic (of any race),85,39,27
White alone or in combination,337,165,136
Black alone or in combination,39,14,11
Asian alone or in combination,578,290,242
IDAHO-Total,1114,666,498
Male,546,325,235
Female,568,341,263
White alone,1051,645,483
White non-Hispanic alone,955,628,475
Black alone,8,4,4
Asian alone,19,,
Hispanic (of any race),100,17,9
White alone or in combination,1069,651,490
Black alone or in combination,9,4,4
Asian alone or in combination,23,2,2
ILLINOIS-Total,9619,5823,3994
Male,4661,2670,1872
Female,4958,3152,2122
White alone,7799,4794,3225
White non-Hispanic alone,6606,4415,2991
Black alone,1312,844,658
Asian alone,434,132,88
Hispanic (of any race),1220,388,241
White alone or in combination,7841,4822,3241
Black alone or in combination,1350,874,672
Asian alone or in combination,434,132,88
INDIANA-Total,4777,2838,1826
Male,2317,1315,892
Female,2459,1523,934
White alone,4300,2544,1646
White non-Hispanic alone,4114,2515,1632
Black alone,371,254,158
Asian alone,35,,
Hispanic (of any race),195,33,19
White alone or in combination,4347,2572,1663
Black alone or in combination,418,281,175
Asian alone or in combination,40,,
IOWA-Total,2278,1547,1143
Male,1114,729,544
Female,1164,818,599
White alone,2161,1494,1106
White non-Hispanic alone,2068,1479,1096
Black alone,57,29,17
Asian alone,21,4,3
Hispanic (of any race),96,15,10
White alone or in combination,2187,1510,1118
Black alone or in combination,64,33,21
Asian alone or in combination,21,4,3
KANSAS-Total,2059,1349,931
Male,1022,658,457
Female,1038,691,474
White alone,1831,1245,863
White non-Hispanic alone,1719,1203,843
Black alone,113,52,34
Asian alone,47,15,11
Hispanic (of any race),125,45,20
White alone or in combination,1888,1274,882
Black alone or in combination,115,52,34
Asian alone or in combination,65,28,19
KENTUCKY-Total,3250,2113,1479
Male,1552,956,704
Female,1698,1157,775
White alone,2995,1974,1383
White non-Hispanic alone,2889,1967,1381
Black alone,203,118,76
Asian alone,33,10,10
Hispanic (of any race),109,8,2
White alone or in combination,3011,1984,1391
Black alone or in combination,206,120,78
Asian alone or in combination,33,10,10
