US-Total,249748,153066,122281
Male,120573,71726,56964
Female,129176,81340,65317
White alone,194127,123727,99255
White non-Hispanic alone,157610,110054,89075
Black alone,31623,19023,15194
Asian alone,15659,5898,4519
Hispanic (of any race),41049,15558,11695
White alone or in combination,198477,126194,101115
Black alone or in combination,33595,20015,15887
Asian alone or in combination,16733,6595,5080
ALABAMA-Total,3753,2490,1830
Male,1772,1122,821
Female,1982,1368,1010
White alone,2610,1774,1309
White non-Hispanic alone,2494,1760,1298
Black alone,976,657,483
Asian alone,61,13,7
Hispanic (of any race),169,26,22
White alone or in combination,2636,1796,1322
Black alone or in combination,979,659,485
Asian alone or in combination,61,13,7
ALASKA-Total,523,337,263
Male,265,175,133
Female,258,162,130
White alone,330,236,193
White non-Hispanic alone,314,229,187
Black alone,16,9,8
Asian alone,55,23,15
Hispanic (of any race),20,10,8
White alone or in combination,356,255,210
Black alone or in combination,18,11,9
Asian alone or in combination,60,25,18
ARIZONA-Total,5361,3262,2800
Male,2606,1539,1288
Female,2755,1723,1512
White alone,4635,2968,2535
White non-Hispanic alone,3128,2272,2000
Black alone,257,114,104
Asian alone,198,63,59
Hispanic (of any race),1624,757,588
White alone or in combination,4688,2996,2563
Black alone or in combination,280,132,122
Asian alone or in combination,209,71,67
ARKANSAS-Total,2261,1262,919
Male,1093,602,431
Female,1169,660,488
White alone,1833,1031,756
White non-Hispanic alone,1678,995,737
Black alone,327,178,132
Asian alone,37,9,6
Hispanic (of any race),172,43,21
White alone or in combination,1878,1061,771
Black alone or in combination,336,184,135
Asian alone or in combination,53,18,7
CALIFORNIA-Total,30243,15690,13240
Male,14767,7372,6205
Female,15476,8318,7035
White alone,21467,11711,10005
White non-Hispanic alone,11986,8005,7116
Black alone,1912,1061,933
Asian alone,5222,2061,1620
Hispanic (of any race),10595,4211,3300
White alone or in combination,22303,12125,10332
Black alone or in combination,2094,1154,998
Asian alone or in combination,5571,2278,1795
COLORADO-Total,4353,2645,2342
Male,2171,1315,1144
Female,2182,1330,1198
White alone,3911,2439,2185
White non-Hispanic alone,3136,2141,1945
Black alone,185,73,51
Asian alone,156,75,66
Hispanic (of any race),806,323,259
White alone or in combination,3998,2486,2213
Black alone or in combination,219,88,63
Asian alone or in combination,185,89,73
CONNECTICUT-Total,2834,1726,1370
Male,1365,804,662
Female,1469,921,708
White alone,2326,1483,1193
White non-Hispanic alone,1934,1347,1090
Black alone,319,158,124
Asian alone,142,51,38
Hispanic (of any race),464,164,120
White alone or in combination,2356,1506,1201
Black alone or in combination,335,174,132
Asian alone or in combination,154,59,38
DELAWARE-Total,756,472,369
Male,359,215,167
Female,397,258,202
White alone,540,340,264
White non-Hispanic alone,477,316,247
Black alone,163,109,90
Asian alone,41,15,11
Hispanic (of any race),73,27,20
White alone or in combination,548,346,266
Black alone or in combination,173,116,93
Asian alone or in combination,43,15,11
DISTRICT OF COLUMBIA-Total,567,397,313
Male,264,179,141
Female,304,218,172
White alone,270,207,168
White non-Hispanic alone,235,191,155
Black alone,251,163,123
Asian alone,30,16,13
Hispanic (of any race),53,24,20
White alone or in combination,281,214,174
Black alone or in combination,258,169,128
Asian alone or in combination,33,17,14
FLORIDA-Total,16845,9435,7918
