US-Total,252274,168308,154628
Male,121870,79340,72474
Female,130404,88968,82154
White alone,195227,134889,124301
White non-Hispanic alone,157442,118389,109830
Black alone,32219,20844,18922
Asian alone,16094,7354,6881
Hispanic (of any race),42468,18719,16459
White alone or in combination,199610,137710,126753
Black alone or in combination,34471,22241,20152
Asian alone or in combination,17273,8157,7593
ALABAMA-Total,3769,2527,2247
Male,1780,1187,1038
Female,1990,1340,1209
White alone,2657,1860,1647
White non-Hispanic alone,2587,1825,1617
Black alone,973,590,533
Asian alone,55,23,21
Hispanic (of any race),79,35,30
White alone or in combination,2692,1883,1665
Black alone or in combination,988,603,543
Asian alone or in combination,58,26,21
ALASKA-Total,528,383,330
Male,269,195,165
Female,259,188,165
White alone,345,265,243
White non-Hispanic alone,325,251,230
Black alone,17,11,8
Asian alone,35,18,17
Hispanic (of any race),28,21,17
White alone or in combination,375,287,259
Black alone or in combination,18,12,8
Asian alone or in combination,43,24,22
ARIZONA-Total,5638,3878,3649
Male,2739,1784,1653
Female,2899,2095,1996
White alone,4840,3328,3152
White non-Hispanic alone,3140,2480,2385
Black alone,279,205,179
Asian alone,206,111,107
Hispanic (of any race),1800,895,814
White alone or in combination,4966,3422,3242
Black alone or in combination,344,266,235
Asian alone or in combination,226,130,127
ARKANSAS-Total,2283,1361,1186
Male,1101,641,546
Female,1182,720,640
White alone,1867,1139,1014
White non-Hispanic alone,1744,1111,988
Black alone,336,186,146
Asian alone,24,14,11
Hispanic (of any race),134,30,29
White alone or in combination,1900,1153,1023
Black alone or in combination,348,193,148
Asian alone or in combination,25,16,12
CALIFORNIA-Total,30342,18001,16893
Male,14786,8549,8012
Female,15556,9452,8882
White alone,21941,13508,12628
White non-Hispanic alone,12090,9133,8711
Black alone,1947,1249,1173
Asian alone,5072,2491,2370
Hispanic (of any race),11165,5014,4539
White alone or in combination,22586,13924,13024
Black alone or in combination,2139,1371,1295
Asian alone or in combination,5405,2665,2529
COLORADO-Total,4525,2993,2837
Male,2254,1452,1355
Female,2271,1541,1482
White alone,4001,2733,2606
White non-Hispanic alone,3267,2396,2316
Black alone,186,102,96
Asian alone,152,57,50
Hispanic (of any race),854,374,315
White alone or in combination,4123,2801,2658
Black alone or in combination,203,118,113
Asian alone or in combination,171,72,65
CONNECTICUT-Total,2777,1850,1681
Male,1333,843,767
Female,1444,1008,915
White alone,2197,1543,1392
White non-Hispanic alone,1841,1381,1270
Black alone,323,192,184
Asian alone,216,96,90
Hispanic (of any race),461,235,196
White alone or in combination,2211,1548,1395
Black alone or in combination,326,195,184
Asian alone or in combination,216,96,90
DELAWARE-Total,766,542,489
Male,361,247,223
Female,404,296,266
White alone,540,392,348
White non-Hispanic alone,495,378,335
Black alone,172,114,106
Asian alone,31,18,18
Hispanic (of any race),57,22,20
White alone or in combination,554,404,359
Black alone or in combination,181,121,112
Asian alone or in combination,36,23,23
DISTRICT OF COLUMBIA-Total,576,464,448
Male,264,209,200
Female,312,255,248
White alone,278,229,223
White non-Hispanic alone,243,213,206
Black alone,251,202,193
Asian alone,36,25,25
Hispanic (of any race),50,26,26
White alone or in combination,285,234,228
Black alone or in combination,256,207,197
Asian alone or in combination,40,27,27
FLORIDA-Total,17244,10495,9720
Male,8263,4965,4563
Female,8982,5530,5157
White alone,13675,8468,7887
White non-Hispanic alone,9553,6676,6260
Black alone,2652,1533,1375
Asian alone,585,260,257
Hispanic (of any race),4439,1992,1789
White alone or in combination,13843,8569,7982
Black alone or in combination,2819,1624,1460
Asian alone or in combination,591,266,263
GEORGIA-Total,8032,5233,4888
Male,3765,2354,2180
Female,4267,2880,2707
White alone,4785,3297,3079
White non-Hispanic alone,4239,3152,2947
Black alone,2569,1721,1608
Asian alone,389,124,116
Hispanic (of any race),739,192,178
White alone or in combination,4857,3351,3127
Black alone or in combination,2702,1776,1657
Asian alone or in combination,398,133,125
HAWAII-Total,1056,673,630
Male,509,333,313
Female,546,340,317
White alone,261,184,175
White non-Hispanic alone,228,165,159
Black alone,18,15,11
Asian alone,489,291,268
Hispanic (of any race),71,35,30
White alone or in combination,374,260,248
Black alone or in combination,25,15,11
Asian alone or in combination,613,377,351
IDAHO-Total,1370,900,843
Male,679,434,410
Female,691,466,433
White alone,1279,857,806
White non-Hispanic alone,1130,800,755
Black alone,10,5,4
Asian alone,22,7,5
Hispanic (of any race),166,63,55
White alone or in combination,1303,873,822
Black alone or in combination,16,8,7
Asian alone or in combination,22,7,5
ILLINOIS-Total,9658,6590,6058
Male,4671,3098,2876
Female,4987,3492,3182
White alone,7551,5303,4849
White non-Hispanic alone,6218,4826,4429
Black alone,1335,861,811
Asian alone,643,331,313
Hispanic (of any race),1421,532,475
White alone or in combination,7600,5331,4873
Black alone or in combination,1382,895,839
Asian alone or in combination,652,340,322
INDIANA-Total,5096,3412,3002
Male,2463,1632,1408
Female,2633,1781,1594
White alone,4318,2967,2601
White non-Hispanic alone,4122,2904,2546
Black alone,473,306,281
Asian alone,178,76,68
Hispanic (of any race),225,72,60
White alone or in combination,4420,3010,2632
Black alone or in combination,532,333,299
