,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006
0,UNITED_STATES TOTAL,220603,135847,96119
1,MALE,106531,63425,45118
2,FEMALE,114073,72422,51001
3,WHITE,179873,115135,82387
4,BLACK,25722,14765,9937
5,HISPANIC ORIGIN,28945,9304,5595
6,ALABAMA TOTAL,3447,2480,1667
7,MALE,1638,1187,792
8,FEMALE,1809,1293,875
9,WHITE,2500,1824,1241
10,BLACK,839,602,401
11,HISPANIC ORIGIN,69,13,13
12,ALASKA TOTAL,469,333,248
13,MALE,237,162,119
14,FEMALE,232,170,129
15,WHITE,356,264,202
16,BLACK,14,7,6
17,HISPANIC ORIGIN,14,7,5
18,ARIZONA TOTAL,4418,2378,1777
19,MALE,2161,1101,797
20,FEMALE,2257,1277,980
21,WHITE,3987,2158,1670
22,BLACK,155,75,35
23,HISPANIC ORIGIN,1243,400,272
24,ARKANSAS TOTAL,2076,1316,911
25,MALE,997,624,431
26,FEMALE,1079,692,480
27,WHITE,1714,1115,792
28,BLACK,297,171,101
29,HISPANIC ORIGIN,106,15,10
30,CALIFORNIA TOTAL,26318,13239,10104
31,MALE,12925,6301,4806
32,FEMALE,13393,6938,5298
33,WHITE,20284,10756,8336
34,BLACK,1665,847,608
35,HISPANIC ORIGIN,8180,2481,1717
36,COLORADO TOTAL,3464,2275,1730
37,MALE,1712,1096,805
38,FEMALE,1752,1179,925
39,WHITE,3160,2150,1660
40,BLACK,128,49,25
41,HISPANIC ORIGIN,563,228,158
42,CONNECTICUT TOTAL,2640,1650,1220
43,MALE,1257,759,572
44,FEMALE,1383,891,648
45,WHITE,2297,1484,1117
46,BLACK,243,128,81
47,HISPANIC ORIGIN,258,90,49
48,DELAWARE TOTAL,647,408,275
49,MALE,308,190,124
50,FEMALE,339,218,152
51,WHITE,496,322,220
52,BLACK,125,74,47
53,HISPANIC ORIGIN,43,8,4
54,DISTRICT_OF_COLUMBIA TOTAL,419,275,187
55,MALE,193,118,79
56,FEMALE,226,157,108
57,WHITE,175,116,81
58,BLACK,217,148,98
59,HISPANIC ORIGIN,36,7,4
60,FLORIDA TOTAL,13929,7855,5343
61,MALE,6717,3621,2538
62,FEMALE,7212,4235,2805
63,WHITE,11556,6709,4592
64,BLACK,1915,963,642
65,HISPANIC ORIGIN,2862,921,514
