0,UNITED STATES,UNITED STATES,190267,118994,62.5,0.19,85702,45.0,0.2
1,MALE.,MALE.,91006,55737,61.2,0.28,40716,44.7,0.29
2,FEMALE.,FEMALE.,99260,63257,63.7,0.26,44986,45.3,0.27
3,WHITE,WHITE,160317,103614,64.6,0.21,75769,47.3,0.22
4,BLACK,BLACK,21799,12762,58.5,0.7,8095,37.1,0.69
5,HISPANIC ORIGIN,HISPANIC ORIGIN,17476,5473,31.3,0.96,3522,20.2,0.83
6,ALABAMA TOTAL,ALABAMA TOTAL,3136,2212,70.6,1.51,1436,45.8,1.65
7,MALE.,MALE.,1427,1025,71.8,2.21,676,47.4,2.45
8,FEMALE.,FEMALE.,1708,1187,69.5,2.07,759,44.5,2.23
9,WHITE,WHITE,2256,1654,73.3,1.73,1106,49.0,1.95
10,BLACK,BLACK,839,557,66.3,3.67,328,39.1,3.78
11,HISPANIC ORIGIN,HISPANIC ORIGIN,38,8,21.6,19.6,6,17.0,17.86
12,ALASKA TOTAL,ALASKA TOTAL,393,283,72.0,1.42,233,59.4,1.56
13,MALE.,MALE.,191,136,71.2,2.06,111,58.1,2.24
14,FEMALE.,FEMALE.,202,147,72.8,1.97,122,60.7,2.16
15,WHITE,WHITE,317,236,74.4,1.54,198,62.5,1.71
16,BLACK,BLACK,15,7,44.9,9.78,4,26.3,8.65
17,HISPANIC ORIGIN,HISPANIC ORIGIN,11,5,47.2,15.17,4,36.8,14.65
18,ARIZONA TOTAL,ARIZONA TOTAL,2971,1683,56.6,1.62,1245,41.9,1.61
19,MALE.,MALE.,1443,805,55.8,2.33,586,40.6,2.3
20,FEMALE.,FEMALE.,1528,878,57.4,2.26,659,43.2,2.26
21,WHITE,WHITE,2730,1597,58.5,1.68,1190,43.6,1.69
22,BLACK,BLACK,74,35,47.7,12.57,29,39.2,12.28
23,HISPANIC ORIGIN,HISPANIC ORIGIN,560,175,31.2,5.48,122,21.9,4.89
24,ARKANSAS TOTAL,ARKANSAS TOTAL,1801,1081,60.0,1.63,750,41.7,1.64
25,MALE.,MALE.,862,488,56.6,2.39,354,41.0,2.37
26,FEMALE.,FEMALE.,939,593,63.2,2.22,397,42.3,2.28
27,WHITE,WHITE,1499,914,61.0,1.78,645,43.1,1.81
28,BLACK,BLACK,275,154,56.0,5.12,95,34.5,4.9
29,HISPANIC ORIGIN,HISPANIC ORIGIN,26,5,21.0,17.82,5,21.0,17.82
30,CALIFORNIA TOTAL,CALIFORNIA TOTAL,22639,12544,55.4,0.64,10417,46.0,0.64
31,MALE.,MALE.,10969,5876,53.6,0.92,4895,44.6,0.92
32,FEMALE.,FEMALE.,11670,6668,57.1,0.89,5522,47.3,0.9
33,WHITE,WHITE,18799,10978,58.4,0.7,9223,49.1,0.71
34,BLACK,BLACK,1237,742,60.0,3.27,540,43.7,3.31
35,HISPANIC ORIGIN,HISPANIC ORIGIN,5736,1427,24.9,1.74,1183,20.6,1.63
36,COLORADO TOTAL,COLORADO TOTAL,2703,1743,64.5,1.64,1256,46.5,1.71
37,MALE.,MALE.,1360,839,61.7,2.35,646,47.5,2.41
38,FEMALE.,FEMALE.,1343,904,67.3,2.28,610,45.4,2.42
39,WHITE,WHITE,2417,1612,66.7,1.71,1172,48.5,1.81
40,BLACK,BLACK,143,78,54.2,8.98,52,35.9,8.64
41,HISPANIC ORIGIN,HISPANIC ORIGIN,259,94,36.3,8.37,45,17.2,6.56
42,CONNECTICUT TOTAL,CONNECTICUT TOTAL,2431,1679,69.0,1.78,1263,51.9,1.92
43,MALE.,MALE.,1144,753,65.8,2.66,597,52.2,2.8
44,FEMALE.,FEMALE.,1287,925,71.9,2.38,665,51.7,2.64
45,WHITE,WHITE,2219,1572,70.8,1.83,1191,53.7,2.01
46,BLACK,BLACK,167,94,56.5,8.81,59,35.3,8.49
47,HISPANIC ORIGIN,HISPANIC ORIGIN,162,78,48.1,11.71,44,27.1,10.41
48,DELAWARE TOTAL,DELAWARE TOTAL,528,311,58.9,1.8,218,41.4,1.8
49,MALE.,MALE.,251,148,58.8,2.61,104,41.4,2.61
50,FEMALE.,FEMALE.,276,163,59.0,2.48,114,41.4,2.49
51,WHITE,WHITE,422,257,60.9,1.99,189,44.8,2.03
52,BLACK,BLACK,91,46,50.7,5.33,24,27.0,4.73
53,HISPANIC ORIGIN,HISPANIC ORIGIN,16,4,26.8,14.45,3,20.0,13.05
54,DISTRICT OF COLUMBIA TOTAL,DISTRICT OF COLUMBIA TOTAL,440,298,67.6,1.86,247,56.1,1.97
55,MALE.,MALE.,204,131,64.3,2.8,106,52.1,2.92
56,FEMALE.,FEMALE.,236,167,70.5,2.47,141,59.4,2.66
57,WHITE,WHITE,159,101,63.6,3.18,85,53.6,3.3
58,BLACK,BLACK,266,194,73.1,2.74,160,60.1,3.03
59,HISPANIC ORIGIN,HISPANIC ORIGIN,33,8,24.8,9.79,5,16.0,8.3
60,FLORIDA TOTAL,FLORIDA TOTAL,10582,6002,56.7,0.79,4601,43.5,0.79
61,MALE.,MALE.,4961,2759,55.6,1.16,2168,43.7,1.16
62,FEMALE.,FEMALE.,5621,3243,57.7,1.08,2432,43.3,1.09
63,WHITE,WHITE,8997,5298,58.9,0.85,4160,46.2,0.86
64,BLACK,BLACK,1327,633,47.7,2.72,398,30.0,2.5
65,HISPANIC ORIGIN,HISPANIC ORIGIN,1690,463,27.4,2.8,340,20.1,2.52
66,GEORGIA TOTAL,GEORGIA TOTAL,5105,2819,55.2,1.61,1822,35.7,1.55
67,MALE.,MALE.,2416,1264,52.3,2.36,824,34.1,2.24
68,FEMALE.,FEMALE.,2689,1555,57.8,2.21,998,37.1,2.16
69,WHITE,WHITE,3664,2031,55.4,1.9,1402,38.3,1.86
70,BLACK,BLACK,1345,775,57.6,3.78,415,30.9,3.53
71,HISPANIC ORIGIN,HISPANIC ORIGIN,105,20,19.2,14.0,19,17.8,13.6
72,HAWAII TOTAL,HAWAII TOTAL,833,438,52.6,1.78,391,46.9,1.78
73,MALE.,MALE.,383,202,52.6,2.62,185,48.3,2.63
74,FEMALE.,FEMALE.,450,237,52.6,2.42,206,45.7,2.41
75,WHITE,WHITE,301,175,58.2,2.92,156,51.9,2.96
76,BLACK,BLACK,7,3,39.1,23.09,1,16.7,17.67
77,HISPANIC ORIGIN,HISPANIC ORIGIN,14,5,33.1,20.14,3,19.3,16.88
78,IDAHO TOTAL,IDAHO TOTAL,798,504,63.1,1.51,405,50.7,1.57
79,MALE.,MALE.,396,245,61.9,2.16,198,49.9,2.23
