3,UNITED STATES-Total .....................................,"193,651","127,661",65.9,.19,"105,017",54.2,.20
4,Male......................................,"92,632","59,672",64.4,.27,"48,909",52.8,.28
5,Female ...................................,"101,020","67,989",67.3,.26,"56,108",55.5,.27
6,White.....................................,"162,779","110,259",67.7,.20,"91,208",56.0,.21
7,Black .....................................,"22,483","14,267",63.5,.67,"11,386",50.6,.70
8,Hispanic origin1 ............................,"18,426","6,573",35.7,.96,"4,928",26.7,.89
10,ALABAMA-Total .....................................,"3,139","2,318",73.8,1.46,"1,744",55.6,1.65
11,Male......................................,"1,459","1,031",70.7,2.21,761,52.2,2.43
12,Female ...................................,"1,681","1,287",76.6,1.92,983,58.5,2.23
13,White.....................................,"2,353","1,783",75.8,1.64,"1,324",56.3,1.90
14,Black .....................................,768,532,69.2,3.74,417,54.3,4.04
15,Hispanic origin1 ............................,24,8,(B),(B),3,(B),(B)
17,ALASKA-Total .....................................,404,305,75.5,1.34,240,59.5,1.53
18,Male......................................,200,144,72.3,1.99,113,56.3,2.20
19,Female ...................................,204,161,78.8,1.80,128,62.6,2.13
20,White.....................................,326,257,78.9,1.42,203,62.3,1.69
21,Black .....................................,11,6,(B),(B),5,(B),(B)
22,Hispanic origin1 ............................,9,4,(B),(B),4,(B),(B)
24,ARIZONA-Total .....................................,"3,149","1,844",58.5,1.57,"1,489",47.3,1.59
25,Male......................................,"1,474",831,56.4,2.30,632,42.9,2.30
26,Female ...................................,"1,676","1,012",60.4,2.13,857,51.1,2.18
27,White.....................................,"2,868","1,735",60.5,1.63,"1,407",49.1,1.66
28,Black .....................................,113,68,60.3,9.91,51,45.0,10.08
29,Hispanic origin1 ............................,711,230,32.4,4.92,163,23.0,4.42
31,ARKANSAS-Total .....................................,"1,843","1,187",64.4,1.58,949,51.5,1.65
32,Male......................................,871,557,64.0,2.30,447,51.3,2.39
33,Female ...................................,972,630,64.8,2.16,502,51.7,2.27
34,White.....................................,"1,507",972,64.5,1.74,786,52.1,1.82
35,Black .....................................,308,203,65.8,4.62,156,50.6,4.87
36,Hispanic origin1 ............................,16,2,(B),(B),2,(B),(B)
38,CALIFORNIA-Total .....................................,"22,871","12,827",56.1,.64,"11,079",48.4,.64
39,Male......................................,"11,179","6,062",54.2,.91,"5,218",46.7,.92
40,Female ...................................,"11,692","6,765",57.9,.89,"5,861",50.1,.90
41,White.....................................,"18,490","10,892",58.9,.70,"9,445",51.1,.71
42,Black .....................................,"1,363",904,66.3,3.00,773,56.7,3.15
43,Hispanic origin1 ............................,"5,723","1,641",28.7,1.82,"1,291",22.6,1.68
