0,UNITED STATES,UNITED STATES,Total,"202,609","186,366",92.0,0.2,0.3,0.3,"129,549",63.9,0.2,0.3,0.3,"110,826",54.7,0.2,0.3,0.3
1,,,Male,"97,087","88,758",91.4,0.3,0.5,0.5,"60,356",62.2,0.3,0.5,0.5,"51,542",53.1,0.3,0.5,0.5
2,,,Female,"105,523","97,608",92.5,0.2,0.4,0.5,"69,193",65.6,0.2,0.4,0.5,"59,284",56.2,0.2,0.4,0.5
3,,,N-H White,"148,035","144,731",97.8,0.1,0.4,0.4,"103,588",70.0,0.1,0.4,0.4,"89,469",60.4,0.1,0.4,0.4
4,,,N-H Black,"23,587","22,409",95.0,0.5,1.1,1.2,"15,156",64.3,0.5,1.1,1.2,"12,749",54.1,0.5,1.1,1.2
5,,,API,"8,041","4,718",58.7,2.1,1.9,1.8,"2,470",30.7,2.1,1.9,1.8,"2,045",25.4,2.1,1.9,1.8
6,,,Hispanic,"21,598","13,159",60.9,1.6,1.5,1.4,"7,546",34.9,1.6,1.5,1.4,"5,934",27.5,1.6,1.5,1.4
7,,,White,"168,733","157,291",93.2,0.2,0.3,0.4,"110,773",65.6,0.2,0.3,0.4,"95,098",56.4,0.2,0.3,0.4
8,,,Black,"24,132","22,753",94.3,0.5,1.1,1.2,"15,348",63.6,0.5,1.1,1.2,"12,917",53.5,0.5,1.1,1.2
9,ALABAMA,ALABAMA,Total,"3,278","3,233",98.6,0.6,2.3,2.6,"2,411",73.6,0.6,2.3,2.6,"1,953",59.6,0.6,2.3,2.6
10,,,Male,"1,507","1,481",98.3,1.0,3.5,3.8,"1,084",72.0,1.0,3.5,3.8,886,58.8,1.0,3.5,3.8
11,,,Female,"1,771","1,752",98.9,0.7,3.1,3.5,"1,326",74.9,0.7,3.1,3.5,"1,067",60.2,0.7,3.1,3.5
12,,,N-H White,"2,370","2,360",99.6,0.4,2.7,3.0,"1,776",74.9,0.4,2.7,3.0,"1,448",61.1,0.4,2.7,3.0
13,,,N-H Black,853,841,98.6,1.5,5.6,6.1,613,71.9,1.5,5.6,6.1,485,56.9,1.5,5.6,6.1
