1,.Total,UNITED STATES-Total,"215,694","197,005",91.3,0.2,"142,070",65.9,0.3,"125,736",58.3,0.3
2,.Male,.Male,"103,812","94,147",90.7,0.3,"66,406",64.0,0.4,"58,455",56.3,0.4
3,.Female,.Female,"111,882","102,858",91.9,0.2,"75,663",67.6,0.4,"67,281",60.1,0.4
4,.White alone,.White alone,"176,618","162,958",92.3,0.2,"119,929",67.9,0.3,"106,588",60.3,0.3
5,..White non-Hispanic alone,..White non-Hispanic alone,"151,410","148,159",97.9,0.1,"111,318",73.5,0.3,"99,567",65.8,0.3
6,.Black alone,.Black alone,"24,910","23,346",93.7,0.5,"16,035",64.4,1.0,"14,016",56.3,1.1
7,.Asian alone,.Asian alone,"9,291","6,270",67.5,1.7,"3,247",35.0,1.8,"2,768",29.8,1.7
8,.Hispanic (of any race),.Hispanic (of any race),"27,129","16,088",59.3,1.3,"9,308",34.3,1.3,"7,587",28.0,1.2
9,.White alone or in combination,.White alone or in combination,"179,050","165,244",92.3,0.2,"121,527",67.9,0.3,"107,930",60.3,0.3
10,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"153,399","150,128",97.9,0.1,"112,703",73.5,0.3,"100,726",65.7,0.3
11,.Black alone or in combination ,.Black alone or in combination ,"25,510","23,908",93.7,0.5,"16,408",64.3,1.0,"14,324",56.1,1.1
12,.Asian alone or in combination,.Asian alone or in combination,"9,721","6,686",68.8,1.7,"3,508",36.1,1.7,"2,980",30.7,1.7
14,.Total,ALABAMA-Total,"3,332","3,257",97.8,0.7,"2,418",72.6,2.1,"2,060",61.8,2.3
15,.Male,.Male,"1,568","1,521",97.0,1.2,"1,109",70.7,3.1,935,59.6,3.4
16,.Female,.Female,"1,764","1,736",98.4,0.8,"1,309",74.2,2.9,"1,125",63.8,3.1
17,.White alone,.White alone,"2,450","2,400",97.9,0.8,"1,808",73.8,2.4,"1,523",62.2,2.7
18,..White non-Hispanic alone,..White non-Hispanic alone,"2,412","2,392",99.2,0.5,"1,806",74.9,2.4,"1,522",63.1,2.7
19,.Black alone,.Black alone,799,799,100.0,-,583,72.9,5.2,511,63.9,5.6
20,.Asian alone,.Asian alone,40,15,(B),(B),4,(B),(B),4,(B),(B)
21,.Hispanic (of any race),.Hispanic (of any race),39,8,(B),(B),2,(B),(B),2,(B),(B)
22,.White alone or in combination,.White alone or in combination,"2,474","2,424",98.0,0.8,"1,823",73.7,2.4,"1,539",62.2,2.7
23,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"2,435","2,415",99.2,0.5,"1,822",74.8,2.4,"1,537",63.1,2.7
24,.Black alone or in combination ,.Black alone or in combination ,806,806,100.0,-,590,73.2,5.2,517,64.2,5.6
25,.Asian alone or in combination,.Asian alone or in combination,40,15,(B),(B),4,(B),(B),4,(B),(B)
27,.Total,ALASKA-Total,451,434,96.2,0.9,334,74.0,2.0,293,65.0,2.2
28,.Male,.Male,224,219,97.8,1.0,168,74.8,2.8,146,65.1,3.1
29,.Female,.Female,227,215,94.5,1.5,167,73.3,2.9,148,64.9,3.1
30,.White alone,.White alone,359,350,97.3,0.8,278,77.3,2.2,249,69.3,2.4
31,..White non-Hispanic alone,..White non-Hispanic alone,343,336,98.1,0.7,269,78.4,2.2,241,70.4,2.4
32,.Black alone,.Black alone,13,13,(B),(B),9,(B),(B),8,(B),(B)
33,.Asian alone,.Asian alone,24,17,(B),(B),9,(B),(B),7,(B),(B)
34,.Hispanic (of any race),.Hispanic (of any race),22,18,(B),(B),13,(B),(B),10,(B),(B)
35,.White alone or in combination,.White alone or in combination,376,367,97.4,0.8,290,77.0,2.1,259,68.9,2.3
36,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,359,352,98.1,0.7,280,78.0,2.1,251,69.9,2.4
37,.Black alone or in combination ,.Black alone or in combination ,15,14,(B),(B),11,(B),(B),9,(B),(B)
38,.Asian alone or in combination,.Asian alone or in combination,25,18,(B),(B),10,(B),(B),8,(B),(B)
40,.Total,ARIZONA-Total,"4,122","3,508",85.1,1.7,"2,485",60.3,2.3,"2,239",54.3,2.3
41,.Male,.Male,"2,008","1,687",84.0,2.5,"1,166",58.0,3.3,"1,034",51.5,3.4
42,.Female,.Female,"2,114","1,822",86.2,2.3,"1,319",62.4,3.2,"1,205",57.0,3.3
43,.Non-Hispanic White,.Non-Hispanic White,"3,747","3,168",84.5,1.8,"2,305",61.5,2.4,"2,094",55.9,2.5
44,.White alone,.White alone,"3,747","3,168",84.5,1.8,"2,305",61.5,2.4,"2,094",55.9,2.5
45,..White non-Hispanic alone,..White non-Hispanic alone,"2,622","2,564",97.8,0.9,"1,962",74.8,2.6,"1,803",68.8,2.7
46,.Black alone,.Black alone,142,136,95.7,6.2,81,57.0,15.2,66,46.6,15.3
47,.Asian alone,.Asian alone,57,38,(B),(B),20,(B),(B),17,(B),(B)
48,.Hispanic (of any race),.Hispanic (of any race),"1,160",629,54.2,7.0,354,30.5,6.4,296,25.5,6.1
49,.White alone or in combination,.White alone or in combination,"3,779","3,196",84.6,1.8,"2,320",61.4,2.4,"2,109",55.8,2.4
50,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"2,650","2,592",97.8,0.9,"1,977",74.6,2.6,"1,818",68.6,2.7
51,.Black alone or in combination ,.Black alone or in combination ,152,146,96.0,5.8,84,55.3,14.8,70,45.6,14.8
52,.Asian alone or in combination,.Asian alone or in combination,63,44,(B),(B),23,(B),(B),20,(B),(B)
54,.Total,ARKANSAS-Total,"2,010","1,942",96.6,0.9,"1,328",66.1,2.4,"1,140",56.7,2.5
55,.Male,.Male,962,926,96.3,1.4,606,63.0,3.5,524,54.4,3.6
56,.Female,.Female,"1,048","1,015",96.9,1.2,723,69.0,3.2,617,58.9,3.4
57,.White alone,.White alone,"1,649","1,593",96.6,1.0,"1,106",67.1,2.6,966,58.6,2.7
58,..White non-Hispanic alone,..White non-Hispanic alone,"1,578","1,570",99.5,0.4,"1,096",69.4,2.6,959,60.8,2.8
59,.Black alone,.Black alone,295,295,100.0,-,188,63.7,7.7,145,49.4,8.0
60,.Asian alone,.Asian alone,24,13,(B),(B),-,(B),(B),-,(B),(B)
61,.Hispanic (of any race),.Hispanic (of any race),73,25,(B),(B),10,(B),(B),7,(B),(B)
62,.White alone or in combination,.White alone or in combination,"1,684","1,628",96.7,1.0,"1,135",67.4,2.6,990,58.8,2.7
63,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"1,613","1,605",99.5,0.4,"1,125",69.7,2.6,983,61.0,2.7
64,.Black alone or in combination ,.Black alone or in combination ,297,297,100.0,-,190,63.9,7.6,147,49.7,7.9
65,.Asian alone or in combination,.Asian alone or in combination,25,14,(B),(B),-,(B),(B),-,(B),(B)
