0,0,UNITED_STATES-Total,UNITED_STATES-Total,"220,603","201,073","135,847",61.6,0.3,67.6,0.3,"96,119",43.6,0.3,47.8,0.3
1,1,.Male,.Male,"106,531","96,144","63,425",59.5,0.4,66.0,0.4,"45,118",42.4,0.4,46.9,0.4
2,2,.Female,.Female,"114,073","104,928","72,422",63.5,0.4,69.0,0.4,"51,001",44.7,0.4,48.6,0.4
3,3,.White alone,.White alone,"179,873","165,637","115,135",64.0,0.3,69.5,0.3,"82,387",45.8,0.3,49.7,0.3
4,4,..White non-Hispanic alone,..White non-Hispanic alone,"152,998","149,761","106,620",69.7,0.3,71.2,0.3,"77,280",50.5,0.4,51.6,0.4
5,5,.Black alone,.Black alone,"25,722","24,229","14,765",57.4,1.1,60.9,1.0,"9,937",38.6,1.0,41.0,1.0
6,6,.Asian alone,.Asian alone,"9,855","6,614","3,245",32.9,1.7,49.1,1.8,"2,145",21.8,1.5,32.4,1.7
7,7,.Hispanic (of any race),.Hispanic (of any race),"28,945","17,315","9,304",32.1,1.2,53.7,1.3,"5,595",19.3,1.0,32.3,1.2
8,8,.White alone or in combination,.White alone or in combination,"182,564","168,120","116,702",63.9,0.3,69.4,0.3,"83,368",45.7,0.3,49.6,0.3
9,9,.Black alone or in combination ,.Black alone or in combination ,"26,375","24,814","15,142",57.4,1.0,61.0,1.0,"10,169",38.6,1.0,41.0,1.0
10,10,.Asian alone or in combination,.Asian alone or in combination,"10,474","7,182","3,544",33.8,1.6,49.3,1.7,"2,350",22.4,1.5,32.7,1.6
11,11,ALABAMA-Total,ALABAMA-Total,"3,447","3,353","2,480",72.0,2.1,74.0,2.0,"1,667",48.4,2.3,49.7,2.3
12,12,.Male,.Male,"1,638","1,566","1,187",72.5,3.0,75.8,2.9,792,48.4,3.4,50.6,3.4
13,13,.Female,.Female,"1,809","1,786","1,293",71.5,2.9,72.4,2.9,875,48.4,3.2,49.0,3.2
14,14,.White alone,.White alone,"2,500","2,430","1,824",73.0,2.4,75.1,2.4,"1,241",49.6,2.7,51.1,2.7
15,15,..White non-Hispanic alone,..White non-Hispanic alone,"2,431","2,414","1,811",74.5,2.4,75.0,2.4,"1,228",50.5,2.8,50.9,2.8
16,16,.Black alone,.Black alone,839,839,602,71.8,5.1,71.8,5.1,401,47.8,5.7,47.8,5.7
17,17,.Asian alone,.Asian alone,29,6,3,(B),(B),(B),(B),-,(B),(B),(B),(B)
18,18,.Hispanic (of any race),.Hispanic (of any race),69,16,13,(B),(B),(B),(B),13,(B),(B),(B),(B)
19,19,.White alone or in combination,.White alone or in combination,"2,561","2,491","1,861",72.7,2.4,74.7,2.4,"1,255",49.0,2.7,50.4,2.7
20,20,.Black alone or in combination ,.Black alone or in combination ,854,854,609,71.4,5.1,71.4,5.1,405,47.5,5.7,47.5,5.7
21,21,.Asian alone or in combination,.Asian alone or in combination,36,12,7,(B),(B),(B),(B),-,(B),(B),(B),(B)
22,22,ALASKA-Total,ALASKA-Total,469,452,333,70.9,2.0,73.6,2.0,248,52.9,2.3,54.9,2.2
23,23,.Male,.Male,237,228,162,68.6,2.9,71.2,2.9,119,50.1,3.2,52.0,3.2
24,24,.Female,.Female,232,224,170,73.3,2.8,76.2,2.7,129,55.7,3.2,57.9,3.2
25,25,.White alone,.White alone,356,350,264,74.1,2.3,75.5,2.2,202,56.8,2.6,57.8,2.6
26,26,..White non-Hispanic alone,..White non-Hispanic alone,346,342,260,75.0,2.3,75.9,2.2,199,57.4,2.6,58.1,2.6
27,27,.Black alone,.Black alone,14,14,7,(B),(B),(B),(B),6,(B),(B),(B),(B)
28,28,.Asian alone,.Asian alone,24,14,7,(B),(B),(B),(B),4,(B),(B),(B),(B)
29,29,.Hispanic (of any race),.Hispanic (of any race),14,10,7,(B),(B),(B),(B),5,(B),(B),(B),(B)
30,30,.White alone or in combination,.White alone or in combination,384,377,283,73.8,2.2,75.0,2.2,215,56.0,2.5,56.9,2.5
31,31,.Black alone or in combination ,.Black alone or in combination ,15,15,8,(B),(B),(B),(B),6,(B),(B),(B),(B)
32,32,.Asian alone or in combination,.Asian alone or in combination,29,19,11,(B),(B),(B),(B),6,(B),(B),(B),(B)
33,33,ARIZONA-Total,ARIZONA-Total,"4,418","3,828","2,378",53.8,2.3,62.1,2.2,"1,777",40.2,2.2,46.4,2.3
34,34,.Male,.Male,"2,161","1,861","1,101",50.9,3.3,59.2,3.2,797,36.9,3.1,42.8,3.2
35,35,.Female,.Female,"2,257","1,968","1,277",56.6,3.2,64.9,3.0,980,43.4,3.2,49.8,3.2
36,36,.White alone,.White alone,"3,987","3,447","2,158",54.1,2.4,62.6,2.3,"1,670",41.9,2.4,48.4,2.4
37,37,..White non-Hispanic alone,..White non-Hispanic alone,"2,797","2,746","1,789",64.0,2.7,65.2,2.7,"1,404",50.2,2.9,51.1,2.9
38,38,.Black alone,.Black alone,155,145,75,48.4,14.7,51.8,14.7,35,22.8,12.3,24.4,12.6
39,39,.Asian alone,.Asian alone,86,47,28,32.9,19.4,(B),(B),12,13.7,14.2,(B),(B)
40,40,.Hispanic (of any race),.Hispanic (of any race),"1,243",747,400,32.2,6.3,53.6,6.7,272,21.9,5.6,36.4,6.5
41,41,.White alone or in combination,.White alone or in combination,"4,037","3,496","2,184",54.1,2.4,62.5,2.3,"1,685",41.7,2.3,48.2,2.4
