0,US,Total,"249,748","228,832","153,066",61.3,0.3,66.9,0.3,"122,281",49.0,0.3,53.4,0.3
1,,Male,"120,573","110,006","71,726",59.5,0.4,65.2,0.4,"56,964",47.2,0.4,51.8,0.5
2,,Female,"129,176","118,826","81,340",63.0,0.4,68.5,0.4,"65,317",50.6,0.4,55.0,0.4
3,,White alone,"194,127","180,522","123,727",63.7,0.3,68.5,0.3,"99,255",51.1,0.3,55.0,0.4
4,,White non-Hispanic alone,"157,610","154,982","110,054",69.8,0.4,71.0,0.4,"89,075",56.5,0.4,57.5,0.4
5,,Black alone,"31,623","29,758","19,023",60.2,1.0,63.9,1.0,"15,194",48.0,1.0,51.1,1.1
6,,Asian alone,"15,659","11,128","5,898",37.7,1.5,53.0,1.8,"4,519",28.9,1.4,40.6,1.8
7,,Hispanic (of any race),"41,049","28,955","15,558",37.9,1.2,53.7,1.4,"11,695",28.5,1.1,40.4,1.4
8,,White alone or in combination,"198,477","184,394","126,194",63.6,0.3,68.4,0.3,"101,115",50.9,0.3,54.8,0.4
9,,Black alone or in combination,"33,595","31,422","20,015",59.6,1.0,63.7,1.0,"15,887",47.3,1.0,50.6,1.1
10,,Asian alone or in combination,"16,733","12,170","6,595",39.4,1.5,54.2,1.8,"5,080",30.4,1.4,41.7,1.7
11,ALABAMA,Total,"3,753","3,609","2,490",66.4,2.5,69.0,2.5,"1,830",48.8,2.7,50.7,2.7
12,,Male,"1,772","1,681","1,122",63.3,3.7,66.7,3.8,821,46.3,3.9,48.8,4.0
13,,Female,"1,982","1,927","1,368",69.0,3.4,71.0,3.4,"1,010",50.9,3.7,52.4,3.7
14,,White alone,"2,610","2,534","1,774",68.0,3.0,70.0,3.0,"1,309",50.1,3.2,51.6,3.2
15,,White non-Hispanic alone,"2,494","2,470","1,760",70.6,3.0,71.3,3.0,"1,298",52.1,3.3,52.6,3.3
16,,Black alone,976,975,657,67.2,5.9,67.4,5.9,483,49.4,6.3,49.5,6.3
17,,Asian alone,61,37,13,B,B,B,B,7,B,B,B,B
18,,Hispanic (of any race),169,77,26,15.6,14.3,34.3,27.8,22,13.2,13.4,29.1,26.6
19,,White alone or in combination,"2,636","2,561","1,796",68.1,3.0,70.1,3.0,"1,322",50.2,3.2,51.6,3.2
20,,Black alone or in combination,979,977,659,67.3,5.9,67.4,5.9,485,49.6,6.3,49.6,6.3
21,,Asian alone or in combination,61,37,13,B,B,B,B,7,B,B,B,B
22,ALASKA,Total,523,497,337,64.4,2.7,67.7,2.7,263,50.2,2.9,52.8,2.9
23,,Male,265,255,175,65.9,3.8,68.4,3.8,133,50.2,4.0,52.1,4.1
24,,Female,258,242,162,62.9,3.9,67.1,3.9,130,50.2,4.1,53.6,4.2
25,,White alone,330,324,236,71.6,3.2,73.0,3.2,193,58.6,3.5,59.7,3.6
26,,White non-Hispanic alone,314,310,229,73.0,3.3,73.9,3.3,187,59.5,3.6,60.3,3.6
27,,Black alone,16,15,9,B,B,B,B,8,B,B,B,B
28,,Asian alone,55,37,23,B,B,B,B,15,B,B,B,B
29,,Hispanic (of any race),20,18,10,B,B,B,B,8,B,B,B,B
30,,White alone or in combination,356,350,255,71.6,3.1,72.9,3.1,210,59.0,3.4,60.1,3.4
31,,Black alone or in combination,18,17,11,B,B,B,B,9,B,B,B,B
32,,Asian alone or in combination,60,42,25,B,B,B,B,18,B,B,B,B
33,ARIZONA,Total,"5,361","4,757","3,262",60.8,2.2,68.6,2.2,"2,800",52.2,2.3,58.9,2.4
34,,Male,"2,606","2,259","1,539",59.0,3.2,68.1,3.2,"1,288",49.4,3.2,57.0,3.5
35,,Female,"2,755","2,497","1,723",62.5,3.1,69.0,3.1,"1,512",54.9,3.1,60.6,3.2
36,,White alone,"4,635","4,168","2,968",64.0,2.3,71.2,2.3,"2,535",54.7,2.4,60.8,2.5
37,,White non-Hispanic alone,"3,128","3,065","2,272",72.6,2.6,74.1,2.6,"2,000",63.9,2.8,65.3,2.8
38,,Black alone,257,222,114,44.4,12.4,51.5,13.5,104,40.6,12.3,47.0,13.4
39,,Asian alone,198,106,63,32.0,13.9,59.8,20.0,59,30.0,13.6,56.1,20.2
40,,Hispanic (of any race),"1,624","1,205",757,46.6,6.4,62.8,7.2,588,36.2,6.2,48.8,7.5
41,,White alone or in combination,"4,688","4,216","2,996",63.9,2.3,71.1,2.3,"2,563",54.7,2.4,60.8,2.5
42,,Black alone or in combination,280,239,132,47.0,12.0,55.0,12.9,122,43.5,11.9,50.9,13.0
43,,Asian alone or in combination,209,117,71,34.0,13.7,60.8,18.9,67,32.1,13.5,57.4,19.1
44,ARKANSAS,Total,"2,261","2,158","1,262",55.8,2.7,58.5,2.8,919,40.6,2.7,42.6,2.8
45,,Male,"1,093","1,034",602,55.1,4.0,58.3,4.0,431,39.4,3.9,41.7,4.0
46,,Female,"1,169","1,125",660,56.5,3.8,58.7,3.9,488,41.8,3.8,43.4,3.9
47,,White alone,"1,833","1,765","1,031",56.2,3.0,58.4,3.1,756,41.3,3.0,42.8,3.1
48,,White non-Hispanic alone,"1,678","1,676",995,59.3,3.2,59.3,3.2,737,43.9,3.2,44.0,3.2
49,,Black alone,327,317,178,54.5,8.8,56.1,8.9,132,40.3,8.6,41.6,8.8
50,,Asian alone,37,19,9,B,B,B,B,6,B,B,B,B
51,,Hispanic (of any race),172,102,43,25.2,13.7,42.3,20.2,21,12.3,10.4,20.8,16.6
52,,White alone or in combination,"1,878","1,805","1,061",56.5,3.0,58.7,3.0,771,41.1,3.0,42.7,3.1
53,,Black alone or in combination,336,325,184,54.7,8.6,56.6,8.8,135,40.2,8.5,41.6,8.7
54,,Asian alone or in combination,53,31,18,B,B,B,B,7,B,B,B,B
55,CALIFORNIA,Total,"30,243","25,525","15,690",51.9,1.0,61.5,1.0,"13,240",43.8,0.9,51.9,1.0
56,,Male,"14,767","12,449","7,372",49.9,1.4,59.2,1.5,"6,205",42.0,1.3,49.8,1.5
57,,Female,"15,476","13,076","8,318",53.8,1.3,63.6,1.4,"7,035",45.5,1.3,53.8,1.4
