index,Categories,Total_Population_1994,Total_Registered_1994,Total_Voted_1994,index,Categories,Total_Population_1996,Total_Registered_1996,Total_Voted_1996,index,Categories,Total_Population_1998,Total_Registered_1998,Total_Voted_1998,index,Categories,Total_Population_2000,Total_Registered_2000,Total_Voted_2000,index,Categories,Total_Population_2002,Total_Registered_2002,Total_Voted_2002,index,Categories,Total_Population_2004,Total_Registered_2004,Total_Voted_2004,index,Categories,Total_Population_2006,Total_Registered_2006,Total_Voted_2006,index,Categories,Total_Population_2008,Total_Registered_2008,Total_Voted_2008,index,Categories,Total_Population_2010,Total_Registered_2010,Total_Voted_2010,index,Categories,Total_Population_2012,Total_Registered_2012,Total_Voted_2012,index,Categories,Total_Population_2014,Total_Registered_2014,Total_Voted_2014,index,Categories,Total_Population_2016,Total_Registered_2016,Total_Voted_2016,index,Categories,Total_Population_2018,Total_Registered_2018,Total_Voted_2018,index,Categories,Total_Population_2020,Total_Registered_2020,Total_Voted_2020
0,UNITED STATES,190267,118994,85702,0,UNITED STATES TOTAL,193651,127661,105017,0,UNITED STATES TOTAL,198228,123104,83098,0,UNITED STATES TOTAL,202609,129549,110826,0,UNITED STATES TOTAL,210421,128154,88903,0,UNITED STATES TOTAL,215694,142070,125736,0,UNITED_STATES TOTAL,220603,135847,96119,0,UNITED_STATES TOTAL,225499,146311,131144,0,US TOTAL,229690,137263,95987,0,UNITED STATES TOTAL,235248,153157,132948,0,UNITED STATES TOTAL,239874,142166,92251,0,US TOTAL,245502,157596,137537,0,US TOTAL,249748,153066,122281,0,US TOTAL,252274,168308,154628
1,MALE,91006,55737,40716,1,MALE,92632,59672,48909,1,MALE,95187,57659,39391,1,MALE,97087,60356,51542,1,MALE,100939,59422,41801,1,MALE,103812,66406,58455,1,MALE,106531,63425,45118,1,MALE,108974,68242,60729,1,MALE,111098,64337,45392,1,MALE,113243,71414,61551,1,MALE,115637,66147,43009,1,MALE,118488,73761,63801,1,MALE,120573,71726,56964,1,MALE,121870,79340,72474
2,FEMALE,99260,63257,44986,2,FEMALE,101020,67989,56108,2,FEMALE,103042,65445,43706,2,FEMALE,105523,69193,59284,2,FEMALE,109481,68732,47102,2,FEMALE,111882,75663,67281,2,FEMALE,114073,72422,51001,2,FEMALE,116525,78069,70415,2,FEMALE,118592,72926,50595,2,FEMALE,122005,81743,71397,2,FEMALE,124237,76019,49243,2,FEMALE,127013,83835,73735,2,FEMALE,129176,81340,65317,2,FEMALE,130404,88968,82154
3,WHITE,160317,103614,75769,3,WHITE,162779,110259,91208,3,HISPANIC ORIGIN,20321,6843,4068,3,WHITE,168733,110773,95098,3,WHITE,174099,109808,76730,3,WHITE,176618,119929,106588,3,WHITE,179873,115135,82387,3,WHITE,183169,122020,109100,3,WHITE,185804,114482,80554,3,WHITE,187084,124697,107846,3,WHITE,189331,115998,76366,3,WHITE,192129,127463,111891,3,WHITE,194127,123727,99255,3,WHITE,195227,134889,124301
4,BLACK,21799,12762,8095,4,BLACK,22483,14267,11386,4,WHITE,165821,105985,71871,4,BLACK,24132,15348,12917,4,BLACK,24445,14304,9695,4,BLACK,24910,16035,14016,4,BLACK,25722,14765,9937,4,BLACK,26528,17375,16133,4,BLACK,27396,16101,11149,4,BLACK,28709,19680,17813,4,BLACK,29668,17700,11078,4,BLACK,30608,19984,17119,4,BLACK,31623,19023,15194,4,BLACK,32219,20844,18922
5,HISPANIC ORIGIN,17476,5473,3522,5,HISPANIC ORIGIN,18426,6573,4928,5,BLACK,23305,14031,9223,5,HISPANIC ORIGIN,21598,7546,5934,5,HISPANIC ORIGIN,25162,8196,4747,5,HISPANIC ORIGIN,27129,9308,7587,5,HISPANIC ORIGIN,28945,9304,5595,5,HISPANIC ORIGIN,30852,11608,9745,5,HISPANIC ORIGIN,32457,10982,6646,5,HISPANIC ORIGIN,35204,13697,11188,5,HISPANIC ORIGIN,36802,12862,6775,5,HISPANIC ORIGIN,38990,15267,12682,5,HISPANIC ORIGIN,41049,15558,11695,5,HISPANIC ORIGIN,42468,18719,16459
6,ALABAMA TOTAL,3136,2212,1436,6,ALABAMA TOTAL,3139,2318,1744,6,ALABAMA TOTAL,3252,2398,1665,6,ALABAMA TOTAL,3278,2411,1953,6,ALABAMA TOTAL,3252,2347,1585,6,ALABAMA TOTAL,3332,2418,2060,6,ALABAMA TOTAL,3447,2480,1667,6,ALABAMA TOTAL,3497,2438,2126,6,ALABAMA TOTAL,3526,2224,1509,6,ALABAMA TOTAL,3594,2556,2154,6,ALABAMA TOTAL,3656,2366,1497,6,ALABAMA TOTAL,3717,2526,2095,6,ALABAMA TOTAL,3753,2490,1830,6,ALABAMA TOTAL,3769,2527,2247
7,MALE,1427,1025,676,7,MALE,1459,1031,761,7,MALE,1559,1127,796,7,MALE,1507,1084,886,7,MALE,1520,1059,755,7,MALE,1568,1109,935,7,MALE,1638,1187,792,7,MALE,1654,1092,927,7,MALE,1652,989,664,7,MALE,1703,1201,1009,7,MALE,1734,1063,677,7,MALE,1761,1155,944,7,MALE,1772,1122,821,7,MALE,1780,1187,1038
8,FEMALE,1708,1187,759,8,FEMALE,1681,1287,983,8,FEMALE,1693,1272,869,8,FEMALE,1771,1326,1067,8,FEMALE,1732,1288,829,8,FEMALE,1764,1309,1125,8,FEMALE,1809,1293,875,8,FEMALE,1843,1346,1199,8,FEMALE,1873,1235,845,8,FEMALE,1891,1354,1145,8,FEMALE,1922,1303,820,8,FEMALE,1955,1371,1151,8,FEMALE,1982,1368,1010,8,FEMALE,1990,1340,1209
9,WHITE,2256,1654,1106,9,WHITE,2353,1783,1324,9,HISPANIC ORIGIN,26,11,8,9,WHITE,2391,1783,1453,9,WHITE,2452,1807,1242,9,WHITE,2450,1808,1523,9,WHITE,2500,1824,1241,9,WHITE,2541,1791,1543,9,WHITE,2611,1612,1097,9,WHITE,2580,1878,1530,9,WHITE,2586,1700,1045,9,WHITE,2633,1772,1465,9,WHITE,2610,1774,1309,9,WHITE,2657,1860,1647
