index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
0,UNITED STATES,190267,193651,198228,202609,210421,215694,220603,225499,229690,235248,239874,245502,249748,252274
1,MALE,91006,92632,95187,97087,100939,103812,106531,108974,111098,113243,115637,118488,120573,121870
2,FEMALE,99260,101020,103042,105523,109481,111882,114073,116525,118592,122005,124237,127013,129176,130404
3,WHITE,160317,162779,20321,168733,174099,176618,179873,183169,185804,187084,189331,192129,194127,195227
4,BLACK,21799,22483,165821,24132,24445,24910,25722,26528,27396,28709,29668,30608,31623,32219
5,HISPANIC ORIGIN,17476,18426,23305,21598,25162,27129,28945,30852,32457,35204,36802,38990,41049,42468
6,ALABAMA TOTAL,3136,3139,3252,3278,3252,3332,3447,3497,3526,3594,3656,3717,3753,3769
7,MALE,1427,1459,1559,1507,1520,1568,1638,1654,1652,1703,1734,1761,1772,1780
8,FEMALE,1708,1681,1693,1771,1732,1764,1809,1843,1873,1891,1922,1955,1982,1990
9,WHITE,2256,2353,26,2391,2452,2450,2500,2541,2611,2580,2586,2633,2610,2657
10,BLACK,839,768,2379,859,776,799,839,875,868,891,922,962,976,973
11,HISPANIC ORIGIN,38,24,835,27,30,39,69,71,142,107,136,117,169,79
12,ALASKA TOTAL,393,404,413,412,437,451,469,488,498,516,521,518,523,528
13,MALE,191,200,208,202,220,224,237,246,252,261,264,267,265,269
14,FEMALE,202,204,204,210,217,227,232,242,246,255,257,251,258,259
15,WHITE,317,326,12,327,333,359,356,364,385,373,340,346,330,345
16,BLACK,15,11,335,13,13,13,14,17,24,21,18,17,16,17
17,HISPANIC ORIGIN,11,9,11,12,20,22,14,15,23,23,28,24,20,28
18,ARIZONA TOTAL,2971,3149,3362,3524,3800,4122,4418,4688,4831,4863,4994,5196,5361,5638
19,MALE,1443,1474,1581,1734,1937,2008,2161,2326,2391,2361,2423,2525,2606,2739
20,FEMALE,1528,1676,1780,1789,1863,2114,2257,2362,2439,2501,2571,2671,2755,2899
21,WHITE,2730,2868,818,3205,3473,3747,3987,4163,4267,4130,4226,4471,4635,4840
22,BLACK,74,113,3090,114,102,142,155,185,193,211,215,252,257,279
23,HISPANIC ORIGIN,560,711,121,910,940,1160,1243,1227,1389,1396,1580,1613,1624,1800
24,ARKANSAS TOTAL,1801,1843,1855,1893,1960,2010,2076,2108,2140,2198,2189,2216,2261,2283
25,MALE,862,871,886,897,921,962,997,1002,1021,1044,1058,1055,1093,1101
26,FEMALE,939,972,969,996,1038,1048,1079,1106,1120,1154,1131,1161,1169,1182
27,WHITE,1499,1507,16,1540,1629,1649,1714,1733,1740,1788,1763,1822,1833,1867
28,BLACK,275,308,1523,331,296,295,297,308,310,313,307,321,327,336
29,HISPANIC ORIGIN,26,16,318,51,82,73,106,74,83,143,136,135,172,134
30,CALIFORNIA TOTAL,22639,22871,23696,24749,24405,26085,26318,26993,27381,28357,29030,29894,30243,30342
31,MALE,10969,11179,11649,11932,11962,12783,12925,13259,13470,13887,14156,14604,14767,14786
32,FEMALE,11670,11692,12047,12817,12443,13302,13393,13734,13910,14470,14874,15289,15476,15556
33,WHITE,18799,18490,6264,19770,19185,20083,20284,20823,20828,21330,21429,21592,21467,21941
34,BLACK,1237,1363,1421,1678,1503,1678,1665,1682,1728,1810,1846,1849,1912,1947
35,HISPANIC ORIGIN,5736,5723,1579,6514,6964,8127,8180,8859,9004,9935,10023,10221,10595,11165
36,COLORADO TOTAL,2703,2859,2954,3049,3246,3398,3464,3694,3768,3817,4009,4242,4353,4525
37,MALE,1360,1453,1465,1514,1615,1691,1712,1840,1865,1882,1979,2102,2171,2254
38,FEMALE,1343,1406,1489,1535,1631,1708,1752,1854,1903,1935,2030,2140,2182,2271
39,WHITE,2417,2692,366,2838,2981,3098,3160,3344,3423,3474,3637,3743,3911,4001
40,BLACK,143,85,2722,116,119,123,128,150,148,140,147,185,185,186
41,HISPANIC ORIGIN,259,331,107,478,570,574,563,590,629,681,701,633,806,854
