index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
0,UNITED STATES,118994,127661,123104,129549,128154,142070,135847,146311,137263,153157,142166,157596,153066,168308
1,MALE,55737,59672,57659,60356,59422,66406,63425,68242,64337,71414,66147,73761,71726,79340
2,FEMALE,63257,67989,65445,69193,68732,75663,72422,78069,72926,81743,76019,83835,81340,88968
3,WHITE,103614,110259,6843,110773,109808,119929,115135,122020,114482,124697,115998,127463,123727,134889
4,BLACK,12762,14267,105985,15348,14304,16035,14765,17375,16101,19680,17700,19984,19023,20844
5,HISPANIC ORIGIN,5473,6573,14031,7546,8196,9308,9304,11608,10982,13697,12862,15267,15558,18719
6,ALABAMA TOTAL,2212,2318,2398,2411,2347,2418,2480,2438,2224,2556,2366,2526,2490,2527
7,MALE,1025,1031,1127,1084,1059,1109,1187,1092,989,1201,1063,1155,1122,1187
8,FEMALE,1187,1287,1272,1326,1288,1309,1293,1346,1235,1354,1303,1371,1368,1340
9,WHITE,1654,1783,11,1783,1807,1808,1824,1791,1612,1878,1700,1772,1774,1860
10,BLACK,557,532,1763,619,524,583,602,611,599,610,596,694,657,590
11,HISPANIC ORIGIN,8,8,621,12,10,2,13,4,34,12,17,32,26,35
12,ALASKA TOTAL,283,305,299,299,303,334,333,345,317,361,336,358,337,383
13,MALE,136,144,148,148,152,168,162,171,161,181,168,181,175,195
14,FEMALE,147,161,151,150,151,167,170,174,156,180,168,177,162,188
15,WHITE,236,257,6,245,246,278,264,278,262,283,234,261,236,265
16,BLACK,7,6,247,7,5,9,7,10,13,10,9,10,9,11
17,HISPANIC ORIGIN,5,4,6,6,11,13,7,9,10,10,12,17,10,21
18,ARIZONA TOTAL,1683,1844,1719,1879,1930,2485,2378,2874,2934,2812,2738,3145,3262,3878
19,MALE,805,831,779,885,959,1166,1101,1382,1419,1398,1309,1485,1539,1784
20,FEMALE,878,1012,940,994,971,1319,1277,1492,1516,1414,1430,1660,1723,2095
21,WHITE,1597,1735,206,1773,1791,2305,2158,2539,2581,2445,2386,2773,2968,3328
22,BLACK,35,68,1622,53,53,81,75,121,122,122,120,165,114,205
23,HISPANIC ORIGIN,175,230,41,304,259,354,400,410,610,516,687,654,757,895
24,ARKANSAS TOTAL,1081,1187,1172,1125,1222,1328,1316,1317,1256,1376,1292,1456,1262,1361
25,MALE,488,557,529,513,551,606,624,584,569,637,592,679,602,641
26,FEMALE,593,630,642,612,671,723,692,734,687,739,700,777,660,720
27,WHITE,914,972,3,916,1025,1106,1115,1125,1050,1148,1076,1196,1031,1139
28,BLACK,154,203,1003,199,183,188,171,160,168,192,184,231,178,186
29,HISPANIC ORIGIN,5,2,165,5,23,10,15,8,14,16,20,29,43,30
30,CALIFORNIA TOTAL,12544,12827,12356,13061,12025,14193,13239,14885,13864,15356,14113,16096,15690,18001
31,MALE,5876,6062,5924,6170,5599,6695,6301,6948,6705,7245,6622,7663,7372,8549
32,FEMALE,6668,6765,6431,6891,6427,7498,6938,7937,7160,8111,7491,8433,8318,9452
33,WHITE,10978,10892,1749,10839,9930,11286,10756,11775,11016,11785,10753,12084,11711,13508
34,BLACK,742,904,10383,1039,801,1141,847,1105,932,1192,1043,1018,1061,1249
35,HISPANIC ORIGIN,1427,1641,962,1919,2017,2455,2481,3263,3025,3684,3294,3882,4211,5014
36,COLORADO TOTAL,1743,2001,2024,1954,1976,2307,2275,2437,2299,2635,2654,2893,2645,2993
37,MALE,839,989,971,959,948,1134,1096,1190,1104,1251,1288,1401,1315,1452
38,FEMALE,904,1012,1053,995,1028,1173,1179,1247,1196,1384,1366,1492,1330,1541
39,WHITE,1612,1915,173,1853,1865,2162,2150,2262,2142,2471,2453,2663,2439,2733
40,BLACK,78,42,1922,74,70,67,49,85,82,75,75,124,73,102
41,HISPANIC ORIGIN,94,163,46,199,184,204,228,225,214,284,321,272,323,374
42,CONNECTICUT TOTAL,1679,1685,1625,1510,1679,1695,1650,1761,1641,1760,1668,1763,1726,1850
43,MALE,753,771,764,682,757,775,759,830,767,811,765,798,804,843
44,FEMALE,925,913,861,828,922,919,891,931,874,949,903,965,921,1008
45,WHITE,1572,1544,103,1331,1508,1519,1484,1583,1473,1520,1475,1538,1483,1543
46,BLACK,94,126,1503,161,147,135,128,133,132,164,121,157,158,192
47,HISPANIC ORIGIN,78,71,112,64,98,64,90,104,111,127,116,151,164,235
48,DELAWARE TOTAL,311,343,339,385,385,415,408,447,418,470,442,487,472,542
49,MALE,148,159,160,173,169,189,190,204,190,218,206,216,215,247
50,FEMALE,163,184,179,211,216,225,218,243,228,252,236,271,258,296
51,WHITE,257,273,4,313,318,344,322,355,330,365,336,372,340,392
52,BLACK,46,64,278,68,61,63,74,83,79,91,91,96,109,114
53,HISPANIC ORIGIN,4,11,55,8,9,13,8,9,9,11,14,19,27,22
54,DISTRICT OF COLUMBIA TOTAL,298,293,256,295,295,293,275,324,295,385,353,420,397,464
55,MALE,131,130,107,130,120,130,118,140,127,173,165,190,179,209
56,FEMALE,167,164,148,165,175,164,157,183,168,212,188,229,218,255
57,WHITE,101,91,6,102,112,122,116,139,134,180,176,209,207,229
58,BLACK,194,199,78,190,179,163,148,173,146,191,164,184,163,202
59,HISPANIC ORIGIN,8,8,175,7,8,10,7,11,12,14,19,20,24,26
60,FLORIDA TOTAL,6002,6727,6653,7043,7290,8219,7855,8774,7994,9102,8691,9604,9435,10495
61,MALE,2759,3061,3011,3228,3342,3784,3621,4049,3735,4234,4008,4377,4383,4965
62,FEMALE,3243,3666,3641,3816,3948,4434,4235,4725,4259,4869,4683,5226,5052,5530
63,WHITE,5298,5927,687,6176,6334,7030,6709,7533,6731,7515,7010,8141,7798,8468
64,BLACK,633,754,5843,773,846,965,963,1069,1073,1262,1358,1149,1340,1533
65,HISPANIC ORIGIN,463,646,714,802,914,924,921,1380,1239,1622,1493,1779,1723,1992
66,GEORGIA TOTAL,2819,3506,3462,3528,3737,3948,3950,4624,4076,4767,4306,4892,4840,5233
67,MALE,1264,1637,1592,1609,1729,1791,1795,2105,1929,2178,1959,2237,2189,2354
68,FEMALE,1555,1869,1869,1919,2009,2157,2154,2519,2147,2589,2347,2655,2651,2880
69,WHITE,2031,2460,43,2221,2609,2788,2801,3111,2717,3121,2764,3179,3093,3297
70,BLACK,775,1015,2332,1296,1095,1083,1081,1414,1260,1491,1339,1552,1577,1721
71,HISPANIC ORIGIN,20,22,1118,26,56,36,57,150,77,140,99,168,135,192
72,HAWAII TOTAL,438,463,463,402,425,497,492,522,466,547,490,530,523,673
73,MALE,202,220,222,183,205,228,231,250,226,256,243,249,237,333
74,FEMALE,237,243,240,219,221,269,261,272,240,292,247,281,287,340
75,WHITE,175,153,13,121,127,148,134,149,99,170,117,144,137,184
76,BLACK,3,8,117,7,4,7,7,2,10,12,8,16,10,15
77,HISPANIC ORIGIN,5,14,6,13,7,23,25,17,39,33,31,43,34,35
78,IDAHO TOTAL,504,571,528,569,567,663,660,723,666,745,671,790,743,900
79,MALE,245,273,259,265,274,317,318,352,325,354,312,386,362,434
80,FEMALE,259,298,269,304,293,345,342,371,341,390,359,404,381,466
81,WHITE,495,560,8,561,560,644,643,697,645,726,648,757,708,857
82,BLACK,1,,521,,2,,,8,4,,1,3,8,5
