index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
0,UNITED STATES,85702,105017,83098,110826,88903,125736,96119,131144,95987,132948,92251,137537,122281,154628
1,MALE,40716,48909,39391,51542,41801,58455,45118,60729,45392,61551,43009,63801,56964,72474
2,FEMALE,44986,56108,43706,59284,47102,67281,51001,70415,50595,71397,49243,73735,65317,82154
3,WHITE,75769,91208,4068,95098,76730,106588,82387,109100,80554,107846,76366,111891,99255,124301
4,BLACK,8095,11386,71871,12917,9695,14016,9937,16133,11149,17813,11078,17119,15194,18922
5,HISPANIC ORIGIN,3522,4928,9223,5934,4747,7587,5595,9745,6646,11188,6775,12682,11695,16459
6,ALABAMA TOTAL,1436,1744,1665,1953,1585,2060,1667,2126,1509,2154,1497,2095,1830,2247
7,MALE,676,761,796,886,755,935,792,927,664,1009,677,944,821,1038
8,FEMALE,759,983,869,1067,829,1125,875,1199,845,1145,820,1151,1010,1209
9,WHITE,1106,1324,8,1453,1242,1523,1241,1543,1097,1530,1045,1465,1309,1647
10,BLACK,328,417,1228,491,336,511,401,547,403,560,414,579,483,533
11,HISPANIC ORIGIN,6,3,431,10,,2,13,4,14,,3,27,22,30
12,ALASKA TOTAL,233,240,222,270,230,293,248,304,242,289,255,308,263,330
13,MALE,111,113,109,133,111,146,119,152,127,140,128,152,133,165
14,FEMALE,122,128,114,137,118,148,129,152,115,149,127,156,130,165
15,WHITE,198,203,5,227,190,249,202,251,209,232,188,234,193,243
16,BLACK,4,5,186,7,3,8,6,7,7,6,6,8,8,8
17,HISPANIC ORIGIN,4,4,3,5,8,10,5,8,7,7,8,17,8,17
18,ARIZONA TOTAL,1245,1489,1135,1644,1397,2239,1777,2497,2170,2412,1785,2769,2800,3649
19,MALE,586,632,529,773,692,1034,797,1191,1075,1193,823,1273,1288,1653
20,FEMALE,659,857,606,871,706,1205,980,1306,1095,1219,961,1496,1512,1996
21,WHITE,1190,1407,120,1560,1307,2094,1670,2226,1936,2123,1583,2480,2535,3152
22,BLACK,29,51,1073,36,41,66,35,95,76,95,66,121,104,179
23,HISPANIC ORIGIN,122,163,32,247,155,296,272,291,407,400,364,543,588,814
24,ARKANSAS TOTAL,750,949,786,936,888,1140,911,1092,841,1124,798,1241,919,1186
25,MALE,354,447,364,423,400,524,431,477,382,531,364,574,431,546
26,FEMALE,397,502,422,512,487,617,480,615,459,593,434,667,488,640
27,WHITE,645,786,1,755,752,966,792,931,713,941,661,1032,756,1014
28,BLACK,95,156,685,173,130,145,101,133,100,155,116,186,132,146
29,HISPANIC ORIGIN,5,2,99,3,15,7,10,3,10,14,14,24,21,29
30,CALIFORNIA TOTAL,10417,11079,9593,11489,8355,12807,10104,13828,10725,13462,8949,14416,13240,16893
31,MALE,4895,5218,4594,5463,3960,6022,4806,6429,5160,6326,4240,6833,6205,8012
32,FEMALE,5522,5861,4999,6027,4396,6785,5298,7398,5565,7137,4708,7583,7035,8882
33,WHITE,9223,9445,1338,9618,7011,10273,8336,10982,8666,10391,7093,10908,10005,12628
34,BLACK,540,773,8225,873,549,1035,608,1073,708,1063,535,856,933,1173
35,HISPANIC ORIGIN,1183,1291,669,1597,1206,2081,1717,2961,2058,3157,1707,3345,3300,4539
36,COLORADO TOTAL,1256,1682,1540,1633,1483,2097,1730,2308,1826,2495,2211,2707,2342,2837
37,MALE,646,832,742,805,733,1016,805,1123,871,1179,1059,1297,1144,1355
38,FEMALE,610,850,798,829,749,1081,925,1185,955,1316,1152,1410,1198,1482
39,WHITE,1172,1621,104,1559,1401,1972,1660,2137,1714,2345,2085,2494,2185,2606
40,BLACK,52,34,1471,54,49,56,25,81,60,69,56,124,51,96
41,HISPANIC ORIGIN,45,129,30,158,118,165,158,195,144,259,218,237,259,315
42,CONNECTICUT TOTAL,1263,1409,1106,1332,1134,1524,1220,1610,1215,1568,1195,1586,1370,1681
43,MALE,597,648,552,605,514,704,572,760,577,712,588,718,662,767
44,FEMALE,665,761,554,727,620,820,648,851,638,856,607,868,708,915
45,WHITE,1191,1311,49,1178,1041,1369,1117,1455,1096,1352,1065,1378,1193,1392
46,BLACK,59,89,1034,135,84,117,81,121,93,159,83,142,124,184
47,HISPANIC ORIGIN,44,49,62,61,50,56,49,89,56,103,68,131,120,196
48,DELAWARE TOTAL,218,293,203,352,253,385,275,408,323,431,299,417,369,489
49,MALE,104,133,99,155,109,174,124,184,147,196,139,183,167,223
50,FEMALE,114,160,104,197,144,211,152,224,177,235,160,234,202,266
51,WHITE,189,239,3,284,211,322,220,324,252,336,229,319,264,348
52,BLACK,24,50,171,64,39,57,47,78,64,86,59,82,90,106
53,HISPANIC ORIGIN,3,6,28,8,5,12,4,7,6,10,5,14,20,20
54,DISTRICT OF COLUMBIA TOTAL,247,239,178,267,207,270,187,306,200,350,247,380,313,448
55,MALE,106,106,73,114,82,118,79,132,84,154,118,168,141,200
56,FEMALE,141,134,106,153,125,152,108,174,116,196,129,212,172,248
57,WHITE,85,82,4,92,76,116,81,130,86,161,123,194,168,223
58,BLACK,160,155,54,172,130,146,98,165,103,177,114,162,123,193
59,HISPANIC ORIGIN,5,7,123,6,4,9,4,11,8,13,13,18,20,26
60,FLORIDA TOTAL,4601,5516,4403,6006,5334,7372,5343,7951,5572,8107,6220,8578,7918,9720
61,MALE,2168,2530,1994,2740,2442,3375,2538,3677,2623,3727,2840,3920,3648,4563
62,FEMALE,2432,2985,2409,3266,2891,3997,2805,4274,2949,4379,3380,4658,4270,5157
63,WHITE,4160,4901,439,5320,4672,6349,4592,6806,4740,6712,5071,7277,6579,7887
64,BLACK,398,575,3882,620,583,815,642,985,725,1104,929,1051,1094,1375
65,HISPANIC ORIGIN,340,510,473,678,639,824,514,1227,863,1399,892,1552,1393,1789
66,GEORGIA TOTAL,1822,2632,2090,2827,2431,3332,2672,4183,2865,4168,2919,4246,4084,4888
67,MALE,824,1244,995,1270,1125,1503,1197,1883,1338,1899,1297,1908,1814,2180
68,FEMALE,998,1388,1095,1557,1306,1829,1474,2300,1527,2269,1622,2338,2270,2707
69,WHITE,1402,1897,32,1810,1723,2351,1905,2789,1881,2683,1866,2786,2581,3079
70,BLACK,415,717,1385,1010,683,919,722,1309,929,1340,925,1346,1374,1608
71,HISPANIC ORIGIN,19,18,700,26,35,26,37,128,46,114,62,161,101,178
72,HAWAII TOTAL,391,361,411,340,363,433,388,457,385,480,399,460,427,630
73,MALE,185,168,202,154,174,196,178,223,182,225,197,215,193,313
74,FEMALE,206,194,210,186,190,237,209,235,203,255,202,245,234,317
75,WHITE,156,111,13,106,107,130,97,136,84,153,95,129,111,175
76,BLACK,1,7,98,2,4,6,3,2,10,12,7,15,4,11
77,HISPANIC ORIGIN,3,10,5,10,6,19,22,15,27,25,21,36,25,30
78,IDAHO TOTAL,405,502,396,500,425,585,523,644,498,679,462,714,587,843
79,MALE,198,241,189,232,202,273,249,313,235,323,213,346,286,410
80,FEMALE,207,261,207,268,222,311,274,331,263,357,248,368,301,433
81,WHITE,399,493,7,496,419,571,515,621,483,661,452,687,555,806
82,BLACK,0,,392,,1,,,8,4,,,2,6,4
83,HISPANIC ORIGIN,8,6,1,7,8,14,9,30,9,27,17,49,30,55
84,ILLINOIS TOTAL,3685,4779,3857,5030,4014,5672,3968,5436,3994,5428,3734,5719,4740,6058
85,MALE,1747,2276,1821,2310,1921,2640,1805,2521,1872,2517,1730,2673,2183,2876
86,FEMALE,1938,2503,2036,2720,2092,3032,2162,2914,2122,2911,2004,3046,2557,3182
87,WHITE,3068,3914,156,4043,3366,4708,3262,4520,3225,4275,3070,4636,3802,4849
88,BLACK,581,818,3162,897,590,855,602,784,658,918,535,776,723,811
89,HISPANIC ORIGIN,125,127,650,218,171,294,185,314,241,295,218,527,354,475
90,INDIANA TOTAL,1620,2367,1751,2564,1856,2598,2053,2758,1826,2801,1646,2795,2364,3002
91,MALE,781,1131,811,1217,882,1247,1024,1290,892,1331,795,1343,1115,1408
92,FEMALE,839,1236,940,1347,974,1351,1028,1468,934,1470,850,1452,1249,1594
