,0,1
0,Statement and Return Report,
1,for Certification,
2,General Election 2010 - 11/02/2010,
3,New York County - All Parties and Independent Bodie,
4,Governor/Lieutenant Governor,
5,Citywide,
6,Vote for 1,
0,Assembly District 64,
1,PUBLIC COUNTER,"21,353"
2,EMERGENCY,0
3,ABSENTEE/MILITARY,416
4,AFFIDAVIT,743
5,Total Ballots,"22,693"
6,ANDREW M CUOMO / ROBERT J DUFFY (DEMOCRATIC),"16,266"
7,CARL P PALADINO / GREGORY J EDWARDS (REPUBLICAN),"2,519"
8,ANDREW M CUOMO / ROBERT J DUFFY (INDEPENDENCE),553
9,CARL P PALADINO / GREGORY J EDWARDS (CONSERVATIVE),234
10,ANDREW M CUOMO / ROBERT J DUFFY (WORKING FAMILIES),"1,355"
11,HOWIE HAWKINS / GLORIA MATTERA (GREEN),192
12,JIMMY MCMILLAN (RENT IS 2 DAMN HIGH),249
13,WARREN REDLICH / ALDEN LINK (LIBERTARIAN),195
14,KRISTIN M DAVIS / TANYA GENDELMAN (ANTI-PROHIBITION),163
15,CHARLES BARRON / EVA M DOYLE (FREEDOM),147
16,CARL P PALADINO / GREGORY J EDWARDS (TAXPAYERS),18
17,A ANDRE (WRITE-IN),1
18,DAN FEIN HARRY DAGOSTINO (WRITE-IN),1
19,DAVID PATERSON (WRITE-IN),1
20,DAVID THE VOICE STEIN (WRITE-IN),1
21,DONALD DUCK (WRITE-IN),1
22,EDUMAND C BURNS (WRITE-IN),1
23,JOHN A GOLEC (WRITE-IN),2
24,MARGARET TRINGLE (WRITE-IN),1
25,MARIAN M CHEN (WRITE-IN),1
26,MICHAEL BLOOMBERG (WRITE-IN),2
27,NEED MORE CHOICES (WRITE-IN),1
28,NO NAME (WRITE-IN),3
29,NONE OF THE FOREGOING (WRITE-IN),1
30,R.A. DICKEY (WRITE-IN),1
31,SAM FEIN (WRITE-IN),1
32,VIC RALTTLEHAND AND PETER FELD (WRITE-IN),2
33,VOID (WRITE-IN),1
34,WAVIE HAURIS AND GLORIA MATTERS (WRITE-IN),2
35,Total Votes,"21,915"
36,Unrecorded,778
0,Assembly District 65,
1,PUBLIC COUNTER,"31,869"
2,EMERGENCY,0
3,ABSENTEE/MILITARY,"1,013"
4,AFFIDAVIT,887
5,Total Ballots,"34,295"
6,ANDREW M CUOMO / ROBERT J DUFFY (DEMOCRATIC),"23,474"
7,CARL P PALADINO / GREGORY J EDWARDS (REPUBLICAN),"4,987"
8,ANDREW M CUOMO / ROBERT J DUFFY (INDEPENDENCE),"1,258"
9,CARL P PALADINO / GREGORY J EDWARDS (CONSERVATIVE),532
10,ANDREW M CUOMO / ROBERT J DUFFY (WORKING FAMILIES),"1,366"
11,HOWIE HAWKINS / GLORIA MATTERA (GREEN),285
12,JIMMY MCMILLAN (RENT IS 2 DAMN HIGH),389
13,WARREN REDLICH / ALDEN LINK (LIBERTARIAN),390
14,KRISTIN M DAVIS / TANYA GENDELMAN (ANTI-PROHIBITION),202
15,CHARLES BARRON / EVA M DOYLE (FREEDOM),66
16,CARL P PALADINO / GREGORY J EDWARDS (TAXPAYERS),26
17,ALEXANDER BENNETT SCHWARTZ (WRITE-IN),1
18,ANTHONY CANONITY (WRITE-IN),1
19,BILL CLINTON (WRITE-IN),1
20,CHRISTEN DAVIS (WRITE-IN),1
21,DAVID PATERSON (WRITE-IN),5
22,DAVID PATTERSON (WRITE-IN),1
23,DAVID RHODES (WRITE-IN),1
24,DICK LAZIE (WRITE-IN),1
25,ELI YAHU KAPLOU (WRITE-IN),1
26,GLORIA MAHERA (WRITE-IN),1
27,HUGH CARLY (WRITE-IN),2
28,JAMES BARRON (WRITE-IN),1
29,JAMES FINEGEROTH (WRITE-IN),1
30,JOHN P. CAHILL (WRITE-IN),1
31,JOSEPH PALISITS (WRITE-IN),1
32,KEVIN KRAMIE (WRITE-IN),1
33,MICHAEL BLOOMBERG (WRITE-IN),6
34,RICK LAZIO (WRITE-IN),5
35,ROBERT JACKSON (WRITE-IN),2
36,RUDY GIULIANI (WRITE-IN),1
37,SADIE (WRITE-IN),1
38,SHAWN KELLY (WRITE-IN),1
39,STEPHEN COLBERT (WRITE-IN),2
40,THE HIPPO AT THE BRONX ZOO (WRITE-IN),1
41,TIMOTHY JARRETT HARRIS (WRITE-IN),1
42,VALERIE MASON (WRITE-IN),1
43,VOID (WRITE-IN),5
44,WILLIAM MARLY TWEED (WRITE-IN),2
45,Total Votes,"33,024"
46,Unrecorded,"1,271"
0,Assembly District 66,
1,PUBLIC COUNTER,"33,385"
2,EMERGENCY,7
3,ABSENTEE/MILITARY,"1,166"
4,AFFIDAVIT,"1,095"
5,Total Ballots,"36,395"
6,ANDREW M CUOMO / ROBERT J DUFFY (DEMOCRATIC),"25,376"
7,CARL P PALADINO / GREGORY J EDWARDS (REPUBLICAN),"2,588"
8,ANDREW M CUOMO / ROBERT J DUFFY (INDEPENDENCE),"1,027"
9,CARL P PALADINO / GREGORY J EDWARDS (CONSERVATIVE),266
10,ANDREW M CUOMO / ROBERT J DUFFY (WORKING FAMILIES),"4,119"
11,HOWIE HAWKINS / GLORIA MATTERA (GREEN),534
12,JIMMY MCMILLAN (RENT IS 2 DAMN HIGH),442
13,WARREN REDLICH / ALDEN LINK (LIBERTARIAN),336
14,KRISTIN M DAVIS / TANYA GENDELMAN (ANTI-PROHIBITION),316
15,CHARLES BARRON / EVA M DOYLE (FREEDOM),122
16,CARL P PALADINO / GREGORY J EDWARDS (TAXPAYERS),25
17,ANDI WEISS BARTCBAK (WRITE-IN),2
18,CELIA CASTRO MALASPIA (WRITE-IN),1
19,DAN SENOR (WRITE-IN),1
20,DONALD VAN SING (WRITE-IN),2
21,DR RK AND DANES (WRITE-IN),1
22,FULL PUBLIC FUNDING (WRITE-IN),1
23,GENE RUSSIANOFF (WRITE-IN),1
24,KATE COHEN (WRITE-IN),1
25,MARIO CUOMO (WRITE-IN),1
26,MARK GREEN (WRITE-IN),1
27,MICHAEL BLOOMBERG (WRITE-IN),5
28,NOBODY (WRITE-IN),1
29,OWEN WEST (WRITE-IN),2
30,RICK LAZIO (WRITE-IN),1
31,RUDY GUILIANI (WRITE-IN),2
32,THE HOFF (WRITE-IN),1
33,VOID (WRITE-IN),7
34,WILLIAM L. GRAHAM (WRITE-IN),1
35,WORKERS PARTY (WRITE-IN),1
36,Total Votes,"35,184"
37,Unrecorded,"1,211"
0,Assembly District 67,
1,PUBLIC COUNTER,"37,785"
2,EMERGENCY,36
3,ABSENTEE/MILITARY,"1,192"
4,AFFIDAVIT,"1,011"
5,Total Ballots,"40,649"
6,ANDREW M CUOMO / ROBERT J DUFFY (DEMOCRATIC),"29,390"
7,CARL P PALADINO / GREGORY J EDWARDS (REPUBLICAN),"3,449"
8,ANDREW M CUOMO / ROBERT J DUFFY (INDEPENDENCE),"1,202"
9,CARL P PALADINO / GREGORY J EDWARDS (CONSERVATIVE),333
10,ANDREW M CUOMO / ROBERT J DUFFY (WORKING FAMILIES),"3,330"
11,HOWIE HAWKINS / GLORIA MATTERA (GREEN),440
12,JIMMY MCMILLAN (RENT IS 2 DAMN HIGH),338
13,WARREN REDLICH / ALDEN LINK (LIBERTARIAN),391
14,KRISTIN M DAVIS / TANYA GENDELMAN (ANTI-PROHIBITION),282
15,CHARLES BARRON / EVA M DOYLE (FREEDOM),140
16,CARL P PALADINO / GREGORY J EDWARDS (TAXPAYERS),33
17,ABSTAIN (WRITE-IN),1
18,ANDREW B. FREEDLAND (WRITE-IN),1
19,BELLA SINGER (WRITE-IN),1
20,BETSY GOTBAUM (WRITE-IN),1
21,BETSY GOTBAUM/ ROBERT DUFFY (WRITE-IN),1
22,CHERIE GOON (WRITE-IN),1
23,CHRIS CHRISTIE (WRITE-IN),1
24,DAN FEIN & HARRY D'AGOSTINO (WRITE-IN),1
25,DAN FOUTS (WRITE-IN),1
26,DAVID A. COARD (WRITE-IN),1
27,DAVID J PECHEFSKY (WRITE-IN),1
28,DAVID PATERSON (WRITE-IN),4
29,EARL PALAD EDWARDS (WRITE-IN),1
30,GEORGE PATAKI (WRITE-IN),2
31,HUGH CAREY (WRITE-IN),1
32,JACOB FARKAS (WRITE-IN),1
33,JAN CREDO (WRITE-IN),1
34,KRISTEN DAVIS (WRITE-IN),1
35,MARK HORLEY (WRITE-IN),3
36,MICHAEL BLOOMBERG (WRITE-IN),2
37,MICHAEL BURGESS (WRITE-IN),1
38,NEIL J. LERNER (WRITE-IN),1
39,NO ONE (WRITE-IN),1
40,NONE OF THE ABOVE (WRITE-IN),1
41,NONE OF THESE CANDIDATES ARE ACCEPTABLE (WRITE-IN),1
42,NOT CUOMO (WRITE-IN),1
43,RICK LAZIO (WRITE-IN),5
44,ROBERT KANE (WRITE-IN),1
45,RON JOHNSON (WRITE-IN),1
46,RUDY GIULIANI (WRITE-IN),1
0,Assembly District 67,
1,RUDY GUILIANI (WRITE-IN),1
2,SA DIE (WRITE-IN),1
3,TOM DI NAPOLI (WRITE-IN),1
4,VOID (WRITE-IN),4
5,Total Votes,"39,376"
6,Unrecorded,"1,273"
7,Assembly District 68,
8,PUBLIC COUNTER,"19,808"
9,EMERGENCY,0
10,ABSENTEE/MILITARY,326
11,AFFIDAVIT,619
12,Total Ballots,"20,827"
13,ANDREW M CUOMO / ROBERT J DUFFY (DEMOCRATIC),"16,830"
14,CARL P PALADINO / GREGORY J EDWARDS (REPUBLICAN),918
15,ANDREW M CUOMO / ROBERT J DUFFY (INDEPENDENCE),413
16,CARL P PALADINO / GREGORY J EDWARDS (CONSERVATIVE),112
17,ANDREW M CUOMO / ROBERT J DUFFY (WORKING FAMILIES),821
18,HOWIE HAWKINS / GLORIA MATTERA (GREEN),120
19,JIMMY MCMILLAN (RENT IS 2 DAMN HIGH),276
20,WARREN REDLICH / ALDEN LINK (LIBERTARIAN),70
21,KRISTIN M DAVIS / TANYA GENDELMAN (ANTI-PROHIBITION),61
22,CHARLES BARRON / EVA M DOYLE (FREEDOM),489
23,CARL P PALADINO / GREGORY J EDWARDS (TAXPAYERS),5
24,DENISE J BURGES (WRITE-IN),1
25,NO NAME (WRITE-IN),2
26,RICHARD WEINGARTEN (WRITE-IN),1
27,ROBERT LORDERGAN/CHRIST OVERR (WRITE-IN),1
28,STEPHEN TIBBITS (WRITE-IN),1
29,VOID (WRITE-IN),6
30,Total Votes,"20,127"
31,Unrecorded,700
0,Assembly District 69,
1,PUBLIC COUNTER,"33,317"
2,EMERGENCY,0
3,ABSENTEE/MILITARY,868
4,AFFIDAVIT,907
5,Total Ballots,"35,560"
6,ANDREW M CUOMO / ROBERT J DUFFY (DEMOCRATIC),"26,212"
7,CARL P PALADINO / GREGORY J EDWARDS (REPUBLICAN),"1,710"
8,ANDREW M CUOMO / ROBERT J DUFFY (INDEPENDENCE),821
9,CARL P PALADINO / GREGORY J EDWARDS (CONSERVATIVE),192
10,ANDREW M CUOMO / ROBERT J DUFFY (WORKING FAMILIES),"3,919"
11,HOWIE HAWKINS / GLORIA MATTERA (GREEN),470
12,JIMMY MCMILLAN (RENT IS 2 DAMN HIGH),370
13,WARREN REDLICH / ALDEN LINK (LIBERTARIAN),206
14,KRISTIN M DAVIS / TANYA GENDELMAN (ANTI-PROHIBITION),163
15,CHARLES BARRON / EVA M DOYLE (FREEDOM),411
16,CARL P PALADINO / GREGORY J EDWARDS (TAXPAYERS),16
17,DAVID PATERSON (WRITE-IN),2
18,DAVID PATTERSON (WRITE-IN),1
19,ELEANOR ROOSEVELT (WRITE-IN),1
20,ERIC SCHNEIDERMAN (WRITE-IN),1
21,FRED MAZELIS SOCIALIST EQUALITY PARTY (WRITE-IN),1
22,JON STEWART (WRITE-IN),1
23,JUDITH KAYE (WRITE-IN),1
24,KAY LARSON (WRITE-IN),1
25,L. ARTHUR EGAN (WRITE-IN),1
26,LEE WILLIAMS ROSE (WRITE-IN),1
27,MICHAEL BLOOMBERG (WRITE-IN),2
28,NO NAME (WRITE-IN),1
29,NONE OF THE ABOVE (WRITE-IN),1
30,VINCENT BALOGIO (WRITE-IN),1
31,VOID (WRITE-IN),5
32,WILL RAHN (WRITE-IN),1
33,WILLIAM J CLINTON (WRITE-IN),1
34,Total Votes,"34,513"
35,Unrecorded,"1,047"
0,Assembly District 70,
1,PUBLIC COUNTER,"24,501"
2,EMERGENCY,2
3,ABSENTEE/MILITARY,356
