STATE,Population  18 and over,Total   citizen,Percent   citizen,Standard      error,Total   registered,Percent   registered,Standard      error,Total    voted,Percent     voted,Standard     error,,,,,
UNITED STATES Total,"198,228","183,451",92.5,0.11,"123,104",62.1,0.20,"83,098",41.9,0.20,,,,,
Male,"95,187","87,713",92.1,0.16,"57,659",60.6,0.29,"39,391",41.4,0.29,,,,,
Female,"103,042","95,738",92.9,0.14,"65,445",63.5,0.27,"43,706",42.4,0.28,,,,,
N-H White,"146,501","143,651",98.1,0.07,"99,510",67.9,0.22,"68,068",46.5,0.24,,,,,
N-H Black,"22,603","21,613",95.6,0.30,"13,773",60.9,0.71,"9,044",40.0,0.71,,,,,
N-H API,"7,327","4,344",59.3,1.31,"2,133",29.1,1.21,"1,404",19.2,1.05,,,,,
Hispanic,"20,321","12,395",61.0,0.97,"6,843",33.7,0.94,"4,068",20.0,0.80,,,,,
White,"165,821","155,369",93.7,0.11,"105,985",63.9,0.21,"71,871",43.3,0.22,,,,,
Black,"23,305","22,074",94.7,0.32,"14,031",60.2,0.70,"9,223",39.6,0.70,,,,,
ALABAMA Total,"3,252","3,212",98.8,0.35,"2,398",73.7,1.40,"1,665",51.2,1.59,,,,,
Male,"1,559","1,538",98.7,0.53,"1,127",72.3,2.06,796,51.0,2.30,,,,,
Female,"1,693","1,674",98.9,0.47,"1,272",75.1,1.91,869,51.4,2.21,,,,,
N-H White,"2,355","2,353",99.9,0.12,"1,755",74.5,1.63,"1,223",51.9,1.87,,,,,
N-H Black,833,829,99.6,0.50,618,74.2,3.34,428,51.4,3.81,,,,,
N-H API,33,9,(B),(B),9,(B),(B),4,(B),(B),,,,,
Hispanic,26,16,(B),(B),11,(B),(B),8,(B),(B),,,,,
White,"2,379","2,366",99.5,0.27,"1,763",74.1,1.63,"1,228",51.6,1.86,,,,,
Black,835,832,99.6,0.50,621,74.3,3.33,431,51.6,3.81,,,,,
ALASKA Total,413,402,97.3,0.56,299,72.3,1.54,222,53.8,1.72,,,,,
Male,208,203,97.3,0.79,148,70.8,2.21,109,52.1,2.42,,,,,
Female,204,199,97.3,0.80,151,73.9,2.15,114,55.6,2.44,,,,,
N-H White,324,318,98.2,0.52,241,74.3,1.70,181,55.9,1.93,,,,,
N-H Black,11,11,(B),(B),6,(B),(B),3,(B),(B),,,,,
N-H API,17,15,(B),(B),11,(B),(B),8,(B),(B),,,,,
Hispanic,12,9,(B),(B),6,(B),(B),5,(B),(B),,,,,
White,335,327,97.5,0.60,247,73.7,1.68,186,55.4,1.90,,,,,
Black,11,11,(B),(B),6,(B),(B),3,(B),(B),,,,,
ARIZONA Total,"3,362","2,971",88.4,0.99,"1,719",51.1,1.54,"1,135",33.8,1.45,,,,,
Male,"1,581","1,358",85.9,1.56,779,49.3,2.24,529,33.5,2.11,,,,,
Female,"1,780","1,613",90.6,1.23,940,52.8,2.11,606,34.0,2.00,,,,,
N-H White,"2,307","2,261",98.0,0.52,"1,422",61.6,1.80,956,41.4,1.83,,,,,
N-H Black,113,113,100.0,0,41,36.6,9.77,32,27.9,9.10,,,,,
N-H API,71,48,(B),(B),27,(B),(B),19,(B),(B),,,,,
Hispanic,818,496,60.6,4.79,206,25.2,4.25,120,14.7,3.47,,,,,
White,"3,090","2,735",88.5,1.02,"1,622",52.5,1.60,"1,073",34.7,1.53,,,,,
Black,121,118,97.7,2.95,41,34.2,9.32,32,26.1,8.62,,,,,
ARKANSAS Total,"1,855","1,835",98.9,0.34,"1,172",63.2,1.56,786,42.4,1.59,,,,,
Male,886,878,99.0,0.46,529,59.7,2.29,364,41.1,2.30,,,,,
Female,969,957,98.8,0.49,642,66.3,2.11,422,43.5,2.21,,,,,
N-H White,"1,506","1,501",99.7,0.21,999,66.3,1.69,684,45.4,1.78,,,,,
N-H Black,318,318,100,0,165,51.8,4.71,99,31.1,4.37,,,,,
N-H API,10,2,(B),(B),.,(B),(B),.,(B),(B),,,,,
Hispanic,16,9,(B),(B),3,(B),(B),1,(B),(B),,,,,
White,"1,523","1,511",99.2,0.31,"1,003",65.9,1.69,685,45.0,1.77,,,,,
Black,318,318,100,0,165,51.8,4.71,99,31.1,4.37,,,,,
CALIFORNIA Total,"23,696","19,016",80.2,0.53,"12,356",52.1,0.67,"9,593",40.5,0.66,,,,,
Male,"11,649","9,347",80.2,0.76,"5,924",50.9,0.95,"4,594",39.4,0.93,,,,,
Female,"12,047","9,669",80.3,0.75,"6,431",53.4,0.93,"4,999",41.5,0.92,,,,,
N-H White,"12,950","12,492",96.5,0.33,"8,675",67.0,0.85,"6,925",53.5,0.9,,,,,
N-H Black,"1,551","1,494",96.4,1.18,956,61.7,3.07,664,42.8,3.13,,,,,
N-H API,"2,706","1,657",61.2,2.43,854,31.6,2.32,587,21.7,2.06,,,,,
Hispanic,"6,264","3,154",50.4,2.04,"1,749",27.9,1.83,"1,338",21.4,1.67,,,,,
White,"19,121","15,582",81.5,0.58,"10,383",54.3,0.74,"8,225",43.0,0.74,,,,,
Black,"1,579","1,505",95.3,1.33,962,60.9,3.06,669,42.4,3.09,,,,,
COLORADO Total,"2,954","2,769",93.8,0.78,"2,024",68.5,1.49,"1,540",52.1,1.60,,,,,
Male,"1,465","1,371",93.6,1.12,971,66.3,2.15,742,50.6,2.28,,,,,
Female,"1,489","1,398",93.9,1.08,"1,053",70.7,2.06,798,53.6,2.26,,,,,
N-H White,"2,384","2,337",98.0,0.50,"1,772",74.3,1.56,"1,385",58.1,1.76,,,,,
N-H Black,107,100,93.1,5.19,46,42.8,10.11,30,28.0,9.17,,,,,
N-H API,63,22,(B),(B),15,(B),(B),9,(B),(B),,,,,
Hispanic,366,277,75.8,6.15,173,47.2,7.16,104,28.4,6.47,,,,,
White,"2,722","2,587",95.0,0.73,"1,922",70.6,1.52,"1,471",54.1,1.67,,,,,
Black,107,100,93.1,5.19,46,42.8,10.11,30,28.0,9.17,,,,,
CONNECTICUT Total,"2,438","2,347",96.3,0.70,"1,625",66.6,1.73,"1,106",45.4,1.82,,,,,
Male,"1,176","1,147",97.5,0.82,764,64.9,2.52,552,46.9,2.63,,,,,
Female,"1,262","1,200",95.1,1.10,861,68.2,2.37,554,43.9,2.53,,,,,
N-H White,"1,987","1,947",98.0,0.57,"1,406",70.7,1.85,985,49.6,2.03,,,,,
N-H Black,186,168,90.0,4.81,106,56.6,7.95,62,33.5,7.57,,,,,
N-H API,23,16,(B),(B),2,(B),(B),2,(B),(B),,,,,
Hispanic,229,206,89.9,5.66,103,45.2,9.36,49,21.4,7.71,,,,,
White,"2,194","2,131",97.1,0.65,"1,503",68.5,1.79,"1,034",47.1,1.93,,,,,
Black,208,189,91.1,4.34,112,53.9,7.58,62,30.0,6.97,,,,,
DELAWARE Total,555,538,96.8,0.63,339,61.1,1.76,203,36.5,1.73,,,,,
Male,274,264,96.5,0.94,160,58.4,2.53,99,36.0,2.46,,,,,
Female,281,273,97.1,0.85,179,63.7,2.43,104,36.9,2.44,,,,,
N-H White,424,419,98.9,0.43,275,64.8,1.97,169,39.8,2.02,,,,,
N-H Black,105,98,93.3,2.49,54,51.5,5.00,27,25.6,4.37,,,,,
N-H API,10,6,(B),(B),5,(B),(B),2,(B),(B),,,,,
Hispanic,13,12,(B),(B),4,(B),(B),3,(B),(B),,,,,
White,435,429,98.6,0.48,278,64.0,1.95,171,39.4,1.99,,,,,
Black,108,101,93.5,2.44,55,51.1,4.95,28,25.8,4.33,,,,,
DISTRICT OF COLUMBIA Total,392,364,92.8,0.95,256,65.1,1.74,178,45.4,1.82,,,,,
Male,173,155,89.9,1.66,107,62.2,2.67,73,42.1,2.72,,,,,
Female,220,209,95.0,1.06,148,67.4,2.29,106,48.0,2.44,,,,,
N-H White,114,106,92.9,1.74,72,63.4,3.26,50,44.1,3.36,,,,,
N-H Black,248,243,97.9,0.80,175,70.4,2.54,123,49.7,2.78,,,,,
N-H API,10,4,(B),(B),2,(B),(B),.,(B),(B),,,,,
Hispanic,17,9,(B),(B),6,(B),(B),4,(B),(B),,,,,
White,132,115,87.6,2.08,78,59.3,3.10,54,41.2,3.11,,,,,
Black,248,243,97.9,0.80,175,70.4,2.54,123,49.7,2.78,,,,,
FLORIDA Total,"11,275","10,033",89.0,0.53,"6,653",59.0,0.83,"4,403",39.0,0.82,,,,,
Male,"5,301","4,646",87.6,0.81,"3,011",56.8,1.21,"1,994",37.6,1.19,,,,,
Female,"5,974","5,388",90.2,0.69,"3,641",61.0,1.12,"2,409",40.3,1.13,,,,,
N-H White,"7,740","7,565",97.7,0.30,"5,183",67.0,0.95,"3,468",44.8,1.01,,,,,
N-H Black,"1,345","1,142",84.9,2.11,693,51.5,2.94,454,33.8,2.78,,,,,
N-H API,224,115,51.4,7.51,59,26.2,6.61,25,11.2,4.74,,,,,
Hispanic,"1,917","1,162",60.6,3.13,687,35.8,3.07,439,22.9,2.69,,,,,
White,"9,568","8,675",90.7,0.53,"5,843",61.1,0.89,"3,882",40.6,0.89,,,,,
Black,"1,417","1,178",83.1,2.15,714,50.4,2.87,473,33.4,2.70,,,,,
GEORGIA Total,"5,581","5,417",97.1,0.48,"3,462",62.0,1.39,"2,090",37.4,1.39,,,,,
Male,"2,605","2,530",97.1,0.70,"1,592",61.1,2.04,995,38.2,2.04,,,,,
Female,"2,977","2,887",97.0,0.67,"1,869",62.8,1.90,"1,095",36.8,1.89,,,,,
N-H White,"3,665","3,597",98.2,0.47,"2,313",63.1,1.71,"1,377",37.6,1.71,,,,,
N-H Black,"1,716","1,684",98.1,0.85,"1,094",63.8,3.01,676,39.4,3.06,,,,,
N-H API,71,43,(B),(B),8,(B),(B),4,(B),(B),,,,,
Hispanic,127,89,70.7,13.62,43,34.3,14.20,32,25.5,13.04,,,,,
White,"3,762","3,658",97.2,0.57,"2,332",62.0,1.69,"1,385",36.8,1.68,,,,,
Black,"1,744","1,712",98.2,0.83,"1,118",64.1,2.98,700,40.2,3.04,,,,,
HAWAII Total,855,766,89.6,1.12,463,54.1,1.82,411,48.1,1.83,,,,,
Male,396,362,91.5,1.50,222,56.2,2.67,202,50.9,2.69,,,,,
Female,459,404,88.0,1.62,240,52.4,2.50,210,45.7,2.49,,,,,
