"Table 4a.  Reported Voting and Registration of the Total Voting-Age Population, by Sex, Race, and Hispanic Origin, for States: November 2000",,,,,,,,,,,
,,,,,,,,,,,
Source:  U.S. Census Bureau,,,,,,,,,,,
"Internet Release date:  February 27, 2002",,,,,,,,,,,
,,,,,,,,,,,
(In thousands),,,,,,,,,,,
STATE,,Population 18 and over,Total citizen,Percent citizen,Confidence interval,Total registered,Percent registered (18+),Confidence interval,Total voted,Percent voted (18+),Confidence interval
,,,,,,,,,,,
UNITED STATES,Total,"202,609","186,366",92.0,0.2,"129,549",63.9,0.3,"110,826",54.7,0.3
,Male,"97,087","88,758",91.4,0.3,"60,356",62.2,0.5,"51,542",53.1,0.5
,Female,"105,523","97,608",92.5,0.2,"69,193",65.6,0.4,"59,284",56.2,0.5
,N-H White,"148,035","144,731",97.8,0.1,"103,588",70.0,0.4,"89,469",60.4,0.4
,N-H Black,"23,587","22,409",95.0,0.5,"15,156",64.3,1.1,"12,749",54.1,1.2
,API,"8,041","4,718",58.7,2.1,"2,470",30.7,1.9,"2,045",25.4,1.8
,Hispanic,"21,598","13,159",60.9,1.6,"7,546",34.9,1.5,"5,934",27.5,1.4
,White,"168,733","157,291",93.2,0.2,"110,773",65.6,0.3,"95,098",56.4,0.4
,Black,"24,132","22,753",94.3,0.5,"15,348",63.6,1.1,"12,917",53.5,1.2
ALABAMA,Total,"3,278","3,233",98.6,0.6,"2,411",73.6,2.3,"1,953",59.6,2.6
,Male,"1,507","1,481",98.3,1.0,"1,084",72.0,3.5,886,58.8,3.8
,Female,"1,771","1,752",98.9,0.7,"1,326",74.9,3.1,"1,067",60.2,3.5
,N-H White,"2,370","2,360",99.6,0.4,"1,776",74.9,2.7,"1,448",61.1,3.0
,N-H Black,853,841,98.6,1.5,613,71.9,5.6,485,56.9,6.1
,API,15,4,(B),(B),2,(B),(B),2,(B),(B)
,Hispanic,27,15,(B),(B),12,(B),(B),10,(B),(B)
,White,"2,391","2,370",99.1,0.6,"1,783",74.5,2.7,"1,453",60.8,3.0
,Black,859,846,98.6,1.5,619,72.0,5.5,491,57.2,6.1
ALASKA,Total,412,399,96.8,1.0,299,72.5,2.6,270,65.5,2.7
,Male,202,197,97.4,1.3,148,73.4,3.6,133,65.7,3.9
,Female,210,202,96.3,1.5,150,71.6,3.6,137,65.4,3.8
,N-H White,316,309,97.7,1.0,240,75.9,2.8,222,70.1,3.0
,N-H Black,13,13,(B),(B),7,(B),(B),7,(B),(B)
,API,15,9,(B),(B),7,(B),(B),5,(B),(B)
,Hispanic,12,11,(B),(B),6,(B),(B),5,(B),(B)
,White,327,319,97.5,1.0,245,75.0,2.8,227,69.3,3.0
,Black,13,13,(B),(B),7,(B),(B),7,(B),(B)
ARIZONA,Total,"3,524","3,129",88.8,1.6,"1,879",53.3,2.5,"1,644",46.7,2.5
,Male,"1,734","1,528",88.1,2.3,885,51.0,3.5,773,44.6,3.5
